id;size;rank;Rdiag
0;4;4;
1;5;5;
2;3;3;
3;1;1;
4;3;3;
5;3;3;
6;6;6;
7;6;6;
8;3;3;
9;5;5;
10;3;3;
11;3;3;
12;9;9;
13;9;9;
14;9;9;
15;3;3;
16;5;5;
17;2;2;
18;9;9;
19;3;3;
20;6;6;
21;1;1;
22;7;7;
23;7;7;
24;3;3;
25;3;3;
26;3;3;
27;2;2;
28;3;3;
29;3;3;
30;3;3;
31;3;3;
32;3;3;
33;3;3;
34;3;3;
35;6;6;
36;3;3;
37;3;3;
38;1;1;
39;3;3;
40;3;3;
41;3;3;
42;4;4;
43;3;3;
44;4;4;
45;4;4;
46;6;6;
47;7;7;
48;5;5;
49;5;5;
50;3;3;
51;3;3;
52;7;7;
53;6;6;
54;3;3;
55;6;6;
56;6;6;
57;6;6;
58;3;3;
59;4;4;
60;6;6;
61;3;3;
62;6;6;
63;4;4;
64;6;6;
65;3;3;
66;3;3;
67;3;3;
68;3;3;
69;11;11;
70;11;11;
71;3;3;
72;3;3;
73;3;3;
74;3;3;
75;12;12;
76;6;6;
77;4;4;
78;3;3;
79;6;6;
80;3;3;
81;12;12;
82;3;3;
83;3;3;
84;3;3;
85;3;3;
86;6;6;
87;3;3;
88;6;6;
89;3;3;
90;10;10;
91;2;2;
92;6;6;
93;1;1;
94;12;12;
95;4;4;
96;3;3;
97;3;3;
98;12;12;
99;6;6;
100;4;4;
101;3;3;
102;6;6;
103;12;12;
104;9;9;
105;3;3;
106;6;6;
107;9;9;
108;7;7;
109;5;5;
110;3;3;
111;6;6;
112;3;3;
113;3;3;
114;5;5;
115;12;12;
116;3;3;
117;9;9;
118;3;3;
119;3;3;
120;3;3;
121;3;3;
122;7;7;
123;7;7;
124;6;6;
125;7;7;
126;8;8;
127;3;3;
128;9;9;
129;6;6;
130;3;3;
131;9;9;
132;6;6;
133;8;8;
134;2;2;
135;4;4;
136;15;15;
137;3;3;
138;3;3;
139;9;9;
140;6;6;
141;3;3;
142;6;6;
143;12;12;
144;6;6;
145;12;12;
146;3;3;
147;6;6;
148;1;1;
149;5;5;
150;6;6;
151;1;1;
152;3;3;
153;10;10;
154;5;5;
155;3;3;
156;3;3;
157;4;4;
158;16;16;
159;6;6;
160;10;10;
161;6;6;
162;9;9;
163;3;3;
164;3;3;
165;3;3;
166;6;6;
167;1;1;
168;6;6;
169;3;3;
170;5;5;
171;6;6;
172;3;3;
173;11;11;
174;6;6;
175;3;3;
176;6;6;
177;9;9;
178;4;4;
179;8;8;
180;4;4;
181;6;6;
182;9;9;
183;6;6;
184;3;3;
185;3;3;
186;3;3;
187;9;9;
188;6;6;
189;4;4;
190;3;3;
191;1;1;
192;6;6;
193;9;9;
194;3;3;
195;3;3;
196;3;3;
197;3;3;
198;2;2;
199;3;3;
200;10;10;
201;12;12;
202;3;3;
203;3;3;
204;9;9;
205;6;6;
206;1;1;
207;5;5;
208;3;3;
209;4;4;
210;1;1;
211;3;3;
212;3;3;
213;7;7;
214;2;2;
215;6;6;
216;1;1;
217;3;3;
218;3;3;
219;3;3;
220;2;2;
221;6;6;
222;9;9;
223;3;3;
224;6;6;
225;6;6;
226;6;6;
227;6;6;
228;1;1;
229;3;3;
230;1;1;
231;6;6;
232;9;9;
233;6;6;
234;6;6;
235;8;8;
236;12;12;
237;3;3;
238;3;3;
239;11;11;
240;6;6;
241;6;6;
242;6;6;
243;7;7;
244;1;1;
245;3;3;
246;9;9;
247;3;3;
248;3;3;
249;3;3;
250;6;6;
251;3;3;
252;3;3;
253;6;6;
254;3;3;
255;11;11;
256;3;3;
257;3;3;
258;15;15;
259;6;6;
260;6;6;
261;5;5;
262;3;3;
263;3;3;
264;12;12;
265;4;4;
266;5;5;
267;3;3;
268;3;3;
269;3;3;
270;3;3;
271;6;6;
272;18;18;
273;3;3;
274;3;3;
275;3;3;
276;6;6;
277;2;2;
278;6;6;
279;7;7;
280;1;1;
281;9;9;
282;4;4;
283;7;7;
284;6;6;
285;3;3;
286;3;3;
287;3;3;
288;3;3;
289;6;6;
290;3;3;
291;1;1;
292;2;2;
293;9;9;
294;9;9;
295;3;3;
296;1;1;
297;3;3;
298;6;6;
299;3;3;
300;5;5;
301;2;2;
302;14;14;
303;6;6;
304;4;4;
305;6;6;
306;3;3;
307;6;6;
308;9;9;
309;3;3;
310;6;6;
311;9;9;
312;6;6;
313;9;9;
314;7;7;
315;9;9;
316;6;6;
317;12;12;
318;3;3;
319;3;3;
320;1;1;
321;6;6;
322;5;5;
323;3;3;
324;3;3;
325;10;10;
326;3;3;
327;7;7;
328;6;6;
329;9;9;
330;1;1;
331;6;6;
332;3;3;
333;6;6;
334;11;11;
335;6;6;
336;3;3;
337;3;3;
338;6;6;
339;9;9;
340;3;3;
341;3;3;
342;3;3;
343;3;3;
344;1;1;
345;3;3;
346;3;3;
347;6;6;
348;4;4;
349;6;6;
350;1;1;
351;6;6;
352;16;16;
353;9;9;
354;3;3;
355;3;3;
356;1;1;
357;9;9;
358;6;6;
359;1;1;
360;1;1;
361;3;3;
362;13;13;
363;6;6;
364;6;6;
365;9;9;
366;3;3;
367;4;4;
368;3;3;
369;3;3;
370;15;15;
371;12;12;
372;1;1;
373;3;3;
374;3;3;
375;12;12;
376;8;8;
377;6;6;
378;3;3;
379;1;1;
380;3;3;
381;3;3;
382;3;3;
383;9;9;
384;2;2;
385;4;4;
386;1;1;
387;8;8;
388;11;11;
389;9;9;
390;5;5;
391;3;3;
392;6;6;
393;6;6;
394;6;6;
395;6;6;
396;9;9;
397;6;6;
398;6;6;
399;3;3;
400;6;6;
401;3;3;
402;3;3;
403;9;9;
404;9;9;
405;3;3;
406;6;6;
407;6;6;
408;3;3;
409;3;3;
410;12;12;
411;2;2;
412;4;4;
413;6;6;
414;6;6;
415;9;9;
416;3;3;
417;4;4;
418;6;6;
419;3;3;
420;9;9;
421;6;6;
422;3;3;
423;6;6;
424;15;15;
425;3;3;
426;6;6;
427;6;6;
428;3;3;
429;9;9;
430;9;9;
431;6;6;
432;9;9;
433;6;6;
434;3;3;
435;6;6;
436;3;3;
437;3;3;
438;6;6;
439;8;8;
