x,y,z,id
0.0000,0.0000,0.0000,20
0.0000,0.0000,0.0000,22
0.0000,0.0000,0.0000,24
131.3350,-112.7200,-0.1477,20
131.3350,-112.7200,-0.1477,13
131.3350,-112.7200,-0.1477,24
111.2360,62.8000,0.6759,24
111.2360,62.8000,0.6759,24
111.2360,62.8000,0.6759,24
247.6380,22.7800,-2.2144,28
247.6380,22.7800,-2.2144,11
247.6380,22.7800,-2.2144,24
-1219.1900,1206.7700,6.4224,28
-1219.1900,1206.7700,6.4224,28
-1219.1900,1206.7700,6.4224,28
-1386.3160,1189.8700,5.1671,26
-1386.3160,1189.8700,5.1671,28
-1386.3160,1189.8700,5.1671,28
-1254.9810,1077.1400,18.7414,20
-1254.9810,1077.1400,18.7414,11
-1254.9810,1077.1400,18.7414,28
-1270.0140,1325.3700,3.9325,20
-1270.0140,1325.3700,3.9325,11
-1270.0140,1325.3700,3.9325,28
1881.5620,4813.7400,2.5824,13
1881.5620,4813.7400,2.5824,13
1881.5620,4813.7400,2.5824,13
1870.1530,4984.0000,2.9338,20
1870.1530,4984.0000,2.9338,7
1870.1530,4984.0000,2.9338,13
1753.8500,4848.4900,4.2439,20
1753.8500,4848.4900,4.2439,20
1753.8500,4848.4900,4.2439,13
2002.9240,4870.0400,1.6074,20
2002.9240,4870.0400,1.6074,20
2002.9240,4870.0400,1.6074,13
3219.4680,3664.8500,-1.8249,7
3219.4680,3664.8500,-1.8249,7
3219.4680,3664.8500,-1.8249,7
3387.8040,3681.4100,-3.6782,5
3387.8040,3681.4100,-3.6782,13
3387.8040,3681.4100,-3.6782,7
3255.0330,3795.3600,-1.2410,22
3255.0330,3795.3600,-1.2410,20
3255.0330,3795.3600,-1.2410,7
3271.5010,3545.9000,0.4486,22
3271.5010,3545.9000,0.4486,22
3271.5010,3545.9000,0.4486,7
-465.1120,661.0100,1.1463,24
-465.1120,661.0100,1.1463,24
-465.1120,661.0100,1.1463,24
-517.9320,665.7500,1.7793,24
-517.9320,665.7500,1.7793,24
-517.9320,665.7500,1.7793,24
-476.4270,614.9300,2.4999,24
-476.4270,614.9300,2.4999,24
-476.4270,614.9300,2.4999,24
-485.6000,703.4500,-0.3634,75
-485.6000,703.4500,-0.3634,75
-485.6000,703.4500,-0.3634,75
-1091.5540,1136.9400,13.7221,28
-1091.5540,1136.9400,13.7221,28
-1091.5540,1136.9400,13.7221,28
-1123.6460,964.4200,16.5179,29
-1123.6460,964.4200,16.5179,29
-1123.6460,964.4200,16.5179,28
3088.1540,3731.9300,-0.1820,7
3088.1540,3731.9300,-0.1820,7
3088.1540,3731.9300,-0.1820,7
3122.2610,3909.3200,-2.8716,20
3122.2610,3909.3200,-2.8716,20
3122.2610,3909.3200,-2.8716,7
1972.2880,4694.3000,0.2669,13
1972.2880,4694.3000,0.2669,13
1972.2880,4694.3000,0.2669,13
2135.6950,4756.0800,1.7121,7
2135.6950,4756.0800,1.7121,22
2135.6950,4756.0800,1.7121,13
-1096.5810,1302.8000,18.9158,28
-1096.5810,1302.8000,18.9158,28
-1096.5810,1302.8000,18.9158,28
-1153.7110,1460.8800,8.6646,22
-1153.7110,1460.8800,8.6646,20
-1153.7110,1460.8800,8.6646,28
1805.3920,4676.4700,0.3695,13
1805.3920,4676.4700,0.3695,13
1805.3920,4676.4700,0.3695,13
1637.5480,4712.9900,1.5601,28
1637.5480,4712.9900,1.5601,7
1637.5480,4712.9900,1.5601,13
3100.7730,3563.9700,-1.8985,7
3100.7730,3563.9700,-1.8985,7
3100.7730,3563.9700,-1.8985,7
3155.1990,3410.4000,-1.2337,11
3155.1990,3410.4000,-1.2337,15
3155.1990,3410.4000,-1.2337,7
-423.3170,619.7200,1.4608,24
-423.3170,619.7200,1.4608,24
-423.3170,619.7200,1.4608,24
-426.2200,571.9200,1.7583,24
-426.2200,571.9200,1.7583,24
-426.2200,571.9200,1.7583,24
-979.8900,1043.9400,10.0794,28
-979.8900,1043.9400,10.0794,28
-979.8900,1043.9400,10.0794,28
-1005.0790,862.6500,6.4083,20
-1005.0790,862.6500,6.4083,9
-1005.0790,862.6500,6.4083,28
-435.2990,700.9100,-0.2327,24
-435.2990,700.9100,-0.2327,24
-435.2990,700.9100,-0.2327,24
-453.2690,741.1400,-1.5211,75
-453.2690,741.1400,-1.5211,75
-453.2690,741.1400,-1.5211,75
-418.3560,662.2400,0.9399,24
-418.3560,662.2400,0.9399,24
-418.3560,662.2400,0.9399,24
2950.5940,3800.6900,-2.5574,7
2950.5940,3800.6900,-2.5574,7
2950.5940,3800.6900,-2.5574,7
3017.1500,3999.5400,-2.8114,29
3017.1500,3999.5400,-2.8114,11
3017.1500,3999.5400,-2.8114,7
2892.6740,3934.2200,-3.0535,7
2892.6740,3934.2200,-3.0535,7
2892.6740,3934.2200,-3.0535,7
2928.6360,4075.5100,-3.9178,20
2928.6360,4075.5100,-3.9178,20
2928.6360,4075.5100,-3.9178,7
2846.1090,4033.3900,-5.2654,7
2846.1090,4033.3900,-5.2654,7
2846.1090,4033.3900,-5.2654,7
2856.7180,4137.2300,-3.0469,22
2856.7180,4137.2300,-3.0469,22
2856.7180,4137.2300,-3.0469,7
2780.9190,4088.5800,-5.3867,7
2780.9190,4088.5800,-5.3867,7
2780.9190,4088.5800,-5.3867,7
2784.8000,4198.9600,-0.7284,22
2784.8000,4198.9600,-0.7284,29
2784.8000,4198.9600,-0.7284,7
-362.4570,580.0900,0.2177,24
-362.4570,580.0900,0.2177,24
-362.4570,580.0900,0.2177,24
-358.8930,523.8400,-0.1173,24
-358.8930,523.8400,-0.1173,24
