child;parent
42;199
43;200
44;201
45;202
46;203
47;204
48;205
49;206
50;207
51;208
52;209
53;210
54;211
55;212
56;213
57;214
58;215
59;216
60;217
61;217
62;217
63;218
64;218
65;218
66;219
67;220
68;220
69;220
70;221
71;221
72;221
73;222
74;222
75;222
76;222
77;222
78;222
79;222
80;222
81;222
82;223
83;223
84;223
85;224
86;224
87;224
88;225
89;225
90;225
91;225
92;225
93;225
94;225
95;225
96;225
97;226
98;226
99;226
100;227
101;228
102;228
103;228
104;229
105;230
106;231
107;232
108;233
109;234
110;235
111;235
112;235
113;236
114;236
115;236
116;237
117;238
118;238
119;238
120;239
121;239
122;239
123;240
124;240
125;240
126;241
127;241
128;241
129;242
130;242
131;242
132;243
133;243
134;243
135;244
136;244
137;244
138;244
139;244
140;244
141;244
142;244
143;244
144;245
145;245
146;245
147;246
148;247
149;248
150;249
151;250
152;251
153;252
154;252
155;252
156;253
157;253
158;253
159;254
160;254
161;254
162;255
163;256
164;257
165;257
166;257
167;258
168;258
169;258
170;259
171;260
172;261
173;262
174;263
175;264
176;265
177;266
178;267
179;268
180;269
181;270
182;271
183;272
184;273
185;274
186;275
187;276
188;277
189;278
190;279
191;280
192;281
193;282
194;283
195;284
196;285
197;286
198;287
217;288
218;289
219;290
220;291
221;292
222;293
223;294
224;295
225;296
226;297
227;298
228;299
229;300
230;300
231;300
232;301
233;301
234;301
235;302
236;302
237;302
238;303
239;303
240;303
241;304
242;304
243;304
244;305
245;306
246;306
247;306
248;307
249;308
250;308
251;308
252;309
253;310
254;310
255;310
256;311
257;312
258;312
259;312
260;313
261;313
262;313
263;313
264;313
265;313
266;313
267;313
268;313
269;314
270;315
271;316
272;317
273;318
274;318
275;318
276;318
277;318
278;318
279;318
280;318
281;318
282;319
283;319
284;319
285;320
286;320
287;320
300;321
301;322
302;323
303;324
304;325
305;326
306;326
307;326
308;327
309;328
310;328
311;328
312;329
313;330
314;331
315;332
316;333
317;334
318;335
319;336
320;337
326;338
327;339
328;340
329;341
330;341
331;341
332;341
333;341
334;341
335;342
336;342
337;342
341;343
342;344
