id;size;rank;Rdiag
0;108;108;
1;72;72;
2;108;108;
3;162;162;
4;162;162;
5;108;108;
6;108;108;
7;72;72;
8;54;54;
9;108;108;
10;162;162;
11;108;108;
12;36;36;
13;72;72;
14;162;162;
15;54;54;
16;108;108;
17;12;12;
18;72;72;
19;18;18;
20;108;108;
21;108;108;
22;72;72;
23;162;162;
24;108;108;
25;108;108;
26;36;36;
27;72;72;
28;27;27;
29;162;162;
30;18;18;
31;108;108;
32;108;108;
33;72;72;
34;162;162;
35;108;108;
36;162;162;
37;54;54;
38;108;108;
39;36;36;
40;72;72;
41;108;108;
42;36;36;
43;54;54;
44;54;54;
45;36;36;
46;54;54;
47;36;36;
48;54;54;
49;6;6;
50;36;36;
51;36;36;
52;54;54;
53;36;36;
54;9;9;
55;54;54;
56;36;36;
57;54;54;
58;54;54;
59;36;36;
60;54;54;
61;36;36;
62;18;18;
63;54;54;
64;36;36;
65;18;18;
66;18;18;
67;36;36;
68;54;54;
69;18;18;
70;6;6;
71;9;9;
72;3;3;
73;18;18;
74;27;27;
75;9;9;
76;12;12;
77;18;18;
78;6;6;
79;6;6;
80;9;9;
81;3;3;
82;54;54;
83;36;36;
84;18;18;
85;9;9;
86;6;6;
87;3;3;
88;27;27;
89;18;18;
90;9;9;
91;18;18;
92;12;12;
93;6;6;
94;9;9;
95;6;6;
96;3;3;
97;54;54;
98;36;36;
99;18;18;
100;18;18;
101;54;54;
102;36;36;
103;18;18;
104;36;36;
105;54;54;
106;18;18;
107;9;9;
108;6;6;
109;3;3;
110;18;18;
111;27;27;
112;9;9;
113;18;18;
114;12;12;
115;6;6;
116;18;18;
117;18;18;
118;12;12;
119;6;6;
120;27;27;
121;18;18;
122;9;9;
123;9;9;
124;6;6;
125;3;3;
126;12;12;
127;18;18;
128;6;6;
129;18;18;
130;27;27;
131;9;9;
132;6;6;
133;9;9;
134;3;3;
135;27;27;
136;18;18;
137;9;9;
138;18;18;
139;12;12;
140;6;6;
141;9;9;
142;6;6;
143;3;3;
144;27;27;
145;18;18;
146;9;9;
147;36;36;
148;18;18;
149;18;18;
150;6;6;
151;9;9;
152;3;3;
153;54;54;
154;36;36;
155;18;18;
156;18;18;
157;12;12;
158;6;6;
159;27;27;
160;18;18;
161;9;9;
162;18;18;
163;18;18;
164;27;27;
165;18;18;
166;9;9;
167;18;18;
168;12;12;
169;6;6;
170;18;18;
171;12;12;
172;18;18;
173;6;6;
174;18;18;
175;27;27;
176;9;9;
177;6;6;
178;9;9;
179;3;3;
180;18;18;
181;18;18;
182;18;18;
183;3;3;
184;18;18;
185;27;27;
186;9;9;
187;12;12;
188;18;18;
189;6;6;
190;6;6;
191;9;9;
192;3;3;
193;54;54;
194;36;36;
195;18;18;
196;9;9;
197;6;6;
198;3;3;
199;36;36;
200;54;54;
201;54;54;
202;36;36;
203;54;54;
204;36;36;
205;54;54;
206;6;6;
207;36;36;
208;36;36;
209;54;54;
210;36;36;
211;9;9;
212;54;54;
213;36;36;
214;54;54;
215;54;54;
216;36;36;
217;108;108;
218;108;108;
219;18;18;
220;108;108;
221;18;18;
222;108;108;
223;108;108;
224;18;18;
225;108;108;
226;108;108;
227;18;18;
228;108;108;
229;36;36;
230;54;54;
231;18;18;
232;9;9;
233;6;6;
234;3;3;
235;54;54;
236;36;36;
237;18;18;
238;36;36;
239;54;54;
240;18;18;
241;36;36;
242;54;54;
243;18;18;
244;108;108;
245;54;54;
246;36;36;
247;18;18;
248;18;18;
249;6;6;
250;9;9;
251;3;3;
252;108;108;
253;36;36;
254;54;54;
255;18;18;
256;18;18;
257;54;54;
258;36;36;
259;18;18;
260;12;12;
261;18;18;
262;6;6;
263;18;18;
264;27;27;
265;9;9;
266;6;6;
267;9;9;
268;3;3;
269;18;18;
270;18;18;
271;18;18;
272;3;3;
273;18;18;
274;27;27;
275;9;9;
276;12;12;
277;18;18;
278;6;6;
279;6;6;
280;9;9;
281;3;3;
282;54;54;
283;36;36;
284;18;18;
285;9;9;
286;6;6;
287;3;3;
288;108;108;
289;108;108;
290;18;18;
291;108;108;
292;18;18;
293;108;108;
294;108;108;
295;18;18;
296;108;108;
297;108;108;
298;18;18;
299;108;108;
300;108;72;
301;18;18;
302;108;72;
303;108;72;
304;108;72;
305;108;73;
306;108;72;
307;18;18;
308;18;18;
309;108;72;
310;108;72;
311;18;18;
312;108;72;
313;108;72;
314;18;18;
315;18;18;
316;18;18;
317;3;3;
318;108;78;
319;108;78;
320;18;18;
321;72;72;
322;18;18;
323;72;72;
324;72;72;
325;72;72;
326;163;72;
327;18;18;
328;162;74;
329;72;72;
330;72;72;
331;18;18;
332;18;18;
333;18;18;
334;3;3;
335;78;78;
336;78;78;
337;18;18;
338;72;72;
339;18;18;
340;74;74;
341;201;20;
342;174;19;
343;20;20;
344;19;19;
