48675;3;7
X;id
 0 0 0;4
 0 0 0;4
 0 0 0;4
 0.416667 0 0;4
 0.416667 0 0;4
 0.416667 0 0;4
 0.833333 0 0;4
 0.833333 0 0;4
 0.833333 0 0;4
 1.25 0 0;4
 1.25 0 0;4
 1.25 0 0;4
 1.66667 0 0;4
 1.66667 0 0;4
 1.66667 0 0;4
 2.08333 0 0;4
 2.08333 0 0;4
 2.08333 0 0;4
 2.5 0 0;121
 2.5 0 0;121
 2.5 0 0;121
 2.91667 0 0;7
 2.91667 0 0;7
 2.91667 0 0;7
 3.33333 0 0;7
 3.33333 0 0;7
 3.33333 0 0;7
 3.75 0 0;7
 3.75 0 0;7
 3.75 0 0;7
 4.16667 0 0;7
 4.16667 0 0;7
 4.16667 0 0;7
 4.58333 0 0;7
 4.58333 0 0;7
 4.58333 0 0;7
 5 0 0;692
 5 0 0;692
 5 0 0;692
 0 0.416667 0;4
 0 0.416667 0;4
 0 0.416667 0;4
 0.416667 0.416667 0;4
 0.416667 0.416667 0;4
 0.416667 0.416667 0;4
 0.833333 0.416667 0;4
 0.833333 0.416667 0;4
 0.833333 0.416667 0;4
 1.25 0.416667 0;4
 1.25 0.416667 0;4
 1.25 0.416667 0;4
 1.66667 0.416667 0;4
 1.66667 0.416667 0;4
 1.66667 0.416667 0;4
 2.08333 0.416667 0;4
 2.08333 0.416667 0;4
 2.08333 0.416667 0;4
 2.5 0.416667 0;121
 2.5 0.416667 0;121
 2.5 0.416667 0;121
 2.91667 0.416667 0;7
 2.91667 0.416667 0;7
 2.91667 0.416667 0;7
 3.33333 0.416667 0;7
 3.33333 0.416667 0;7
 3.33333 0.416667 0;7
 3.75 0.416667 0;7
 3.75 0.416667 0;7
 3.75 0.416667 0;7
 4.16667 0.416667 0;7
 4.16667 0.416667 0;7
 4.16667 0.416667 0;7
 4.58333 0.416667 0;7
 4.58333 0.416667 0;7
 4.58333 0.416667 0;7
 5 0.416667 0;692
 5 0.416667 0;692
 5 0.416667 0;692
 0 0.833333 0;4
 0 0.833333 0;4
 0 0.833333 0;4
 0.416667 0.833333 0;4
 0.416667 0.833333 0;4
 0.416667 0.833333 0;4
 0.833333 0.833333 0;4
 0.833333 0.833333 0;4
 0.833333 0.833333 0;4
 1.25 0.833333 0;4
 1.25 0.833333 0;4
 1.25 0.833333 0;4
 1.66667 0.833333 0;4
 1.66667 0.833333 0;4
 1.66667 0.833333 0;4
 2.08333 0.833333 0;4
 2.08333 0.833333 0;4
 2.08333 0.833333 0;4
 2.5 0.833333 0;121
 2.5 0.833333 0;121
 2.5 0.833333 0;121
 2.91667 0.833333 0;7
 2.91667 0.833333 0;7
 2.91667 0.833333 0;7
 3.33333 0.833333 0;7
 3.33333 0.833333 0;7
 3.33333 0.833333 0;7
 3.75 0.833333 0;7
 3.75 0.833333 0;7
 3.75 0.833333 0;7
 4.16667 0.833333 0;7
 4.16667 0.833333 0;7
 4.16667 0.833333 0;7
 4.58333 0.833333 0;7
 4.58333 0.833333 0;7
 4.58333 0.833333 0;7
 5 0.833333 0;692
 5 0.833333 0;692
 5 0.833333 0;692
 0 1.25 0;4
 0 1.25 0;4
 0 1.25 0;4
 0.416667 1.25 0;4
 0.416667 1.25 0;4
 0.416667 1.25 0;4
 0.833333 1.25 0;4
 0.833333 1.25 0;4
 0.833333 1.25 0;4
 1.25 1.25 0;4
 1.25 1.25 0;4
 1.25 1.25 0;4
 1.66667 1.25 0;4
 1.66667 1.25 0;4
 1.66667 1.25 0;4
 2.08333 1.25 0;4
 2.08333 1.25 0;4
 2.08333 1.25 0;4
 2.5 1.25 0;121
 2.5 1.25 0;121
 2.5 1.25 0;121
 2.91667 1.25 0;7
 2.91667 1.25 0;7
 2.91667 1.25 0;7
 3.33333 1.25 0;7
 3.33333 1.25 0;7
 3.33333 1.25 0;7
 3.75 1.25 0;7
 3.75 1.25 0;7
 3.75 1.25 0;7
 4.16667 1.25 0;7
 4.16667 1.25 0;7
 4.16667 1.25 0;7
 4.58333 1.25 0;7
 4.58333 1.25 0;7
 4.58333 1.25 0;7
 5 1.25 0;692
 5 1.25 0;692
 5 1.25 0;692
 0 1.66667 0;4
 0 1.66667 0;4
 0 1.66667 0;4
 0.416667 1.66667 0;4
 0.416667 1.66667 0;4
 0.416667 1.66667 0;4
 0.833333 1.66667 0;4
 0.833333 1.66667 0;4
 0.833333 1.66667 0;4
 1.25 1.66667 0;4
 1.25 1.66667 0;4
 1.25 1.66667 0;4
 1.66667 1.66667 0;4
 1.66667 1.66667 0;4
 1.66667 1.66667 0;4
