child;parent
158;967
159;968
160;969
161;970
162;971
163;972
164;973
165;974
166;975
167;976
168;977
169;978
170;979
171;980
172;981
173;982
174;983
175;984
176;985
177;986
178;987
179;988
180;989
181;990
182;991
183;992
184;993
185;994
186;995
187;996
188;997
189;998
190;999
191;1000
192;1001
193;1002
194;1003
195;1004
196;1005
197;1006
198;1007
199;1008
200;1009
201;1010
202;1011
203;1012
204;1013
205;1014
206;1015
207;1016
208;1017
209;1018
210;1019
211;1020
212;1021
213;1022
214;1023
215;1024
216;1025
217;1026
218;1027
219;1028
220;1029
221;1030
222;1031
223;1032
224;1033
225;1034
226;1035
227;1036
228;1037
229;1038
230;1039
231;1040
232;1041
233;1042
234;1043
235;1044
236;1045
237;1045
238;1045
239;1046
240;1046
241;1046
242;1047
243;1047
244;1047
245;1048
246;1048
247;1048
248;1049
249;1049
250;1049
251;1050
252;1050
253;1050
254;1051
255;1051
256;1051
257;1051
258;1051
259;1051
260;1051
261;1051
262;1051
263;1052
264;1052
265;1052
266;1053
267;1053
268;1053
269;1054
270;1054
271;1054
272;1055
273;1056
274;1056
275;1056
276;1057
277;1057
278;1057
279;1058
280;1058
281;1058
282;1058
283;1058
284;1058
285;1058
286;1058
287;1058
288;1059
289;1059
290;1059
291;1059
292;1059
293;1059
294;1059
295;1059
296;1059
297;1060
298;1060
299;1060
300;1061
301;1061
302;1061
303;1062
304;1062
305;1062
306;1063
307;1063
308;1063
309;1064
310;1064
311;1064
312;1064
313;1064
314;1064
315;1064
316;1064
317;1064
318;1065
319;1065
320;1065
321;1066
322;1066
323;1066
324;1067
325;1067
326;1067
327;1067
328;1067
329;1067
330;1067
331;1067
332;1067
333;1068
334;1068
335;1068
336;1069
337;1069
338;1069
339;1070
340;1071
341;1071
342;1071
343;1072
344;1072
345;1072
346;1073
347;1073
348;1073
349;1074
350;1074
351;1074
352;1075
353;1075
354;1075
355;1076
356;1076
357;1076
358;1077
359;1077
360;1077
361;1077
362;1077
363;1077
364;1077
365;1077
366;1077
367;1078
368;1078
369;1078
370;1078
371;1078
372;1078
373;1078
374;1078
375;1078
376;1079
377;1079
378;1079
379;1080
380;1080
381;1080
382;1081
383;1081
384;1081
385;1082
386;1083
387;1083
388;1083
389;1083
390;1083
391;1083
392;1083
393;1083
394;1083
395;1084
396;1084
397;1084
398;1084
399;1084
400;1084
401;1084
402;1084
403;1084
404;1085
405;1086
406;1086
407;1086
408;1087
409;1087
410;1087
411;1088
412;1088
413;1088
414;1089
415;1090
416;1090
417;1090
418;1091
419;1091
420;1091
421;1092
422;1092
423;1092
424;1093
425;1094
426;1094
427;1094
428;1095
429;1095
430;1095
431;1095
432;1095
433;1095
434;1095
435;1095
436;1095
437;1096
438;1097
439;1097
440;1097
441;1098
442;1098
443;1098
444;1099
445;1099
446;1099
447;1100
448;1101
449;1101
450;1101
451;1102
452;1102
453;1102
454;1103
455;1104
456;1104
457;1104
458;1104
459;1104
460;1104
461;1104
462;1104
463;1104
464;1105
465;1105
466;1105
467;1106
468;1107
469;1107
470;1107
471;1108
472;1108
473;1108
474;1109
475;1110
476;1111
477;1112
478;1113
479;1114
480;1114
481;1114
482;1115
483;1115
484;1115
485;1116
486;1117
487;1118
488;1118
489;1118
490;1118
491;1118
492;1118
493;1118
494;1118
495;1118
496;1119
497;1119
498;1119
499;1120
500;1121
501;1121
502;1121
503;1122
504;1123
505;1124
506;1124
507;1124
508;1125
509;1126
510;1127
511;1127
512;1127
513;1128
514;1129
515;1130
516;1131
517;1131
518;1131
519;1132
520;1133
521;1133
522;1133
523;1134
524;1134
525;1134
526;1135
527;1136
528;1136
529;1136
530;1137
531;1137
532;1137
533;1138
534;1139
535;1140
536;1141
537;1142
538;1143
539;1143
540;1143
541;1144
542;1145
543;1145
544;1145
545;1146
546;1147
547;1148
548;1148
549;1148
550;1149
551;1149
552;1149
553;1150
554;1151
555;1152
556;1153
557;1153
558;1153
559;1154
560;1155
561;1156
562;1156
563;1156
564;1157
565;1158
566;1158
567;1158
568;1158
569;1158
570;1158
571;1158
572;1158
573;1158
574;1159
575;1159
576;1159
577;1159
578;1159
579;1159
580;1159
581;1159
582;1159
583;1160
584;1161
585;1162
586;1163
587;1164
588;1164
589;1164
590;1165
591;1165
592;1165
593;1166
594;1167
595;1167
596;1167
597;1168
598;1168
599;1168
600;1169
601;1170
602;1171
603;1171
604;1171
605;1172
606;1172
607;1172
608;1173
609;1174
610;1174
611;1174
612;1175
613;1175
614;1175
615;1176
616;1177
617;1177
618;1177
619;1178
620;1178
621;1178
622;1178
623;1178
624;1178
625;1178
626;1178
627;1178
628;1179
629;1180
630;1181
631;1182
632;1183
633;1183
634;1183
635;1184
636;1184
637;1184
638;1185
639;1186
640;1186
641;1186
642;1187
643;1187
644;1187
645;1188
646;1189
647;1189
648;1189
649;1190
650;1190
651;1190
652;1190
653;1190
654;1190
655;1190
656;1190
657;1190
658;1191
659;1192
660;1193
661;1194
662;1195
663;1195
664;1195
665;1196
666;1196
667;1196
668;1196
669;1196
670;1196
671;1196
672;1196
673;1196
674;1197
675;1198
676;1198
677;1198
678;1198
679;1198
680;1198
681;1198
682;1198
683;1198
684;1199
685;1199
686;1199
687;1199
688;1199
689;1199
690;1199
691;1199
692;1199
693;1200
694;1201
695;1202
696;1202
697;1202
698;1203
699;1203
700;1203
701;1204
702;1205
703;1205
704;1205
705;1206
706;1206
707;1206
708;1207
709;1208
710;1209
711;1209
712;1209
713;1210
714;1210
715;1210
716;1211
717;1212
718;1212
719;1212
720;1213
721;1213
722;1213
723;1214
724;1215
725;1216
726;1216
727;1216
728;1216
729;1216
730;1216
731;1216
732;1216
733;1216
734;1217
735;1218
736;1219
737;1219
738;1219
739;1220
740;1220
741;1220
742;1221
743;1222
744;1223
745;1224
746;1225
747;1226
748;1227
749;1228
750;1229
751;1230
752;1231
753;1231
754;1231
755;1232
756;1232
757;1232
758;1233
759;1234
760;1235
761;1236
762;1237
763;1238
764;1239
765;1240
766;1241
767;1241
768;1241
769;1242
770;1243
771;1244
772;1245
773;1246
774;1247
775;1247
776;1247
777;1248
778;1249
779;1249
780;1249
781;1250
782;1250
783;1250
784;1251
785;1252
786;1252
787;1252
788;1253
789;1254
790;1255
791;1256
792;1256
793;1256
794;1257
795;1258
796;1259
797;1259
798;1259
799;1260
800;1260
801;1260
802;1261
803;1262
804;1263
805;1264
806;1264
807;1264
808;1265
809;1265
810;1265
811;1266
812;1267
813;1268
814;1268
815;1268
816;1269
817;1270
818;1271
819;1272
820;1272
821;1272
822;1273
823;1274
824;1274
825;1274
826;1275
827;1275
828;1275
829;1276
830;1277
831;1278
832;1279
833;1280
834;1281
835;1281
836;1281
837;1281
838;1281
839;1281
840;1281
841;1281
842;1281
843;1282
844;1282
845;1282
846;1282
847;1282
848;1282
849;1282
850;1282
851;1282
852;1283
853;1284
854;1284
855;1284
856;1285
857;1285
858;1285
859;1285
860;1285
861;1285
862;1285
863;1285
864;1285
865;1286
866;1287
867;1288
868;1289
869;1290
870;1291
871;1291
872;1291
873;1291
874;1291
875;1291
876;1291
877;1291
878;1291
879;1292
880;1292
881;1292
882;1293
883;1294
884;1294
885;1294
886;1295
887;1295
888;1295
889;1296
890;1297
891;1298
892;1299
893;1300
894;1301
895;1301
896;1301
897;1302
898;1302
899;1302
900;1303
901;1303
902;1303
903;1304
904;1304
905;1304
906;1304
907;1304
908;1304
909;1304
910;1304
911;1304
912;1305
913;1305
914;1305
915;1305
916;1305
917;1305
918;1305
919;1305
920;1305
921;1306
922;1306
923;1306
924;1307
925;1307
926;1307
927;1308
928;1308
929;1308
930;1309
931;1310
932;1310
933;1310
934;1310
935;1310
936;1310
937;1310
938;1310
939;1310
940;1311
941;1311
942;1311
943;1312
944;1312
945;1312
946;1313
947;1313
948;1313
949;1314
950;1314
951;1314
952;1315
953;1315
954;1315
955;1316
956;1316
957;1316
958;1317
959;1317
960;1317
961;1318
962;1319
963;1320
964;1320
965;1320
966;1321
1045;1322
1046;1323
1047;1324
1048;1325
1049;1326
1050;1327
1051;1328
1052;1329
1053;1330
1054;1331
1055;1332
1056;1333
1057;1334
1058;1335
1059;1336
1060;1337
1061;1338
1062;1339
1063;1340
1064;1341
1065;1342
1066;1343
1067;1344
1068;1345
1069;1346
1070;1347
1071;1348
1072;1349
1073;1350
1074;1351
1075;1352
1076;1353
1077;1354
1078;1355
1079;1356
1080;1357
1081;1357
1082;1357
1083;1358
1084;1358
1085;1358
1086;1359
1087;1360
1088;1360
1089;1360
1090;1361
1091;1362
1092;1362
1093;1362
1094;1363
1095;1363
1096;1363
1097;1364
1098;1365
1099;1365
1100;1365
1101;1366
1102;1366
1103;1366
1104;1367
1105;1367
1106;1367
1107;1368
1108;1368
1109;1368
1110;1369
1111;1370
1112;1370
1113;1370
1114;1371
1115;1372
1116;1372
1117;1372
1118;1373
1119;1373
1120;1373
1121;1374
1122;1374
1123;1374
1124;1375
1125;1375
1126;1375
1127;1376
1128;1376
1129;1376
1130;1377
1131;1377
1132;1377
1133;1378
1134;1379
1135;1380
1136;1381
1137;1382
1138;1383
1139;1384
1140;1385
1141;1386
1142;1387
1143;1388
1144;1389
1145;1390
1146;1390
1147;1390
1148;1391
1149;1391
1150;1391
1151;1392
1152;1393
1153;1394
1154;1395
1155;1396
1156;1397
1157;1398
1158;1399
1159;1400
1160;1401
1161;1402
1162;1403
1163;1404
1164;1405
1165;1405
1166;1405
1167;1406
1168;1406
1169;1406
1170;1407
1171;1408
1172;1409
1173;1410
1174;1411
1175;1412
