x,y,z,id
0,0,0,2453
0,0,0,2633
0,0,0,2672
131.335,-112.72,-0.1477,1072
131.335,-112.72,-0.1477,2082
131.335,-112.72,-0.1477,2672
111.236,62.8,0.6759,2672
111.236,62.8,0.6759,2672
111.236,62.8,0.6759,2672
247.638,22.78,-2.2144,4568
247.638,22.78,-2.2144,3629
247.638,22.78,-2.2144,2672
-1219.19,1206.77,6.4224,2853
-1219.19,1206.77,6.4224,2853
-1219.19,1206.77,6.4224,2853
-1386.32,1189.87,5.1671,2767
-1386.32,1189.87,5.1671,2932
-1386.32,1189.87,5.1671,2853
-1254.98,1077.14,18.7414,2453
-1254.98,1077.14,18.7414,3629
-1254.98,1077.14,18.7414,2853
-1270.01,1325.37,3.9325,2450
-1270.01,1325.37,3.9325,3629
-1270.01,1325.37,3.9325,2853
1881.56,4813.74,2.5824,2082
1881.56,4813.74,2.5824,2082
1881.56,4813.74,2.5824,2082
1870.15,4984,2.9338,2450
1870.15,4984,2.9338,642
1870.15,4984,2.9338,2082
1753.85,4848.49,4.2439,2539
1753.85,4848.49,4.2439,2453
1753.85,4848.49,4.2439,2082
2002.92,4870.04,1.6074,2453
2002.92,4870.04,1.6074,2453
2002.92,4870.04,1.6074,2082
3219.47,3664.85,-1.8249,1736
3219.47,3664.85,-1.8249,1736
3219.47,3664.85,-1.8249,1736
3387.8,3681.41,-3.6782,3279
3387.8,3681.41,-3.6782,2058
3387.8,3681.41,-3.6782,1736
3255.03,3795.36,-1.241,4293
3255.03,3795.36,-1.241,2452
3255.03,3795.36,-1.241,1736
3271.5,3545.9,0.4486,2635
3271.5,3545.9,0.4486,2635
3271.5,3545.9,0.4486,1736
-465.112,661.01,1.1463,7742
-465.112,661.01,1.1463,7742
-465.112,661.01,1.1463,7742
-517.932,665.75,1.7793,4348
-517.932,665.75,1.7793,4348
-517.932,665.75,1.7793,4348
-476.427,614.93,2.4999,4348
-476.427,614.93,2.4999,4348
-476.427,614.93,2.4999,4348
-485.6,703.45,-0.3634,14073
-485.6,703.45,-0.3634,14073
-485.6,703.45,-0.3634,14073
-1091.55,1136.94,13.7221,2853
-1091.55,1136.94,13.7221,2853
-1091.55,1136.94,13.7221,2853
-1123.65,964.42,16.5179,2957
-1123.65,964.42,16.5179,2989
-1123.65,964.42,16.5179,2853
3088.15,3731.93,-0.182,1736
3088.15,3731.93,-0.182,1736
3088.15,3731.93,-0.182,1736
3122.26,3909.32,-2.8716,2447
3122.26,3909.32,-2.8716,2441
3122.26,3909.32,-2.8716,12099
1972.29,4694.3,0.2669,2082
1972.29,4694.3,0.2669,2082
1972.29,4694.3,0.2669,2082
2135.7,4756.08,1.7121,603
2135.7,4756.08,1.7121,4293
2135.7,4756.08,1.7121,3796
-1096.58,1302.8,18.9158,2853
-1096.58,1302.8,18.9158,2853
-1096.58,1302.8,18.9158,2853
-1153.71,1460.88,8.6646,2634
-1153.71,1460.88,8.6646,1072
-1153.71,1460.88,8.6646,2853
1805.39,4676.47,0.3695,2082
1805.39,4676.47,0.3695,2082
1805.39,4676.47,0.3695,2082
1637.55,4712.99,1.5601,2889
1637.55,4712.99,1.5601,3378
1637.55,4712.99,1.5601,12376
3100.77,3563.97,-1.8985,3435
3100.77,3563.97,-1.8985,3435
3100.77,3563.97,-1.8985,3435
3155.2,3410.4,-1.2337,3629
3155.2,3410.4,-1.2337,3806
3155.2,3410.4,-1.2337,3435
-423.317,619.72,1.4608,7742
-423.317,619.72,1.4608,7742
-423.317,619.72,1.4608,7742
-426.22,571.92,1.7583,4348
-426.22,571.92,1.7583,4348
-426.22,571.92,1.7583,4348
-979.89,1043.94,10.0794,4570
-979.89,1043.94,10.0794,4570
-979.89,1043.94,10.0794,4570
-1005.08,862.65,6.4083,1093
-1005.08,862.65,6.4083,1782
-1005.08,862.65,6.4083,4570
-435.299,700.91,-0.2327,4350
-435.299,700.91,-0.2327,4350
-435.299,700.91,-0.2327,4350
-453.269,741.14,-1.5211,14093
-453.269,741.14,-1.5211,14093
-453.269,741.14,-1.5211,14093
-418.356,662.24,0.9399,4350
-418.356,662.24,0.9399,4350
-418.356,662.24,0.9399,4350
2950.59,3800.69,-2.5574,12099
2950.59,3800.69,-2.5574,12099
2950.59,3800.69,-2.5574,12099
3017.15,3999.54,-2.8114,2990
3017.15,3999.54,-2.8114,3629
3017.15,3999.54,-2.8114,3378
2892.67,3934.22,-3.0535,3378
2892.67,3934.22,-3.0535,3378
2892.67,3934.22,-3.0535,3378
2928.64,4075.51,-3.9178,1093
2928.64,4075.51,-3.9178,1073
2928.64,4075.51,-3.9178,3378
2846.11,4033.39,-5.2654,3378
2846.11,4033.39,-5.2654,3378
2846.11,4033.39,-5.2654,3378
2856.72,4137.23,-3.0469,2611
2856.72,4137.23,-3.0469,2634
2856.72,4137.23,-3.0469,5054
2780.92,4088.58,-5.3867,8366
2780.92,4088.58,-5.3867,8366
2780.92,4088.58,-5.3867,8366
