x,y,z,id
0,0,0,2478
0,0,0,2658
0,0,0,2697
131.335,-112.72,-0.1477,1091
131.335,-112.72,-0.1477,2107
131.335,-112.72,-0.1477,2697
111.236,62.8,0.6759,2697
111.236,62.8,0.6759,2697
111.236,62.8,0.6759,2697
247.638,22.78,-2.2144,4593
247.638,22.78,-2.2144,3654
247.638,22.78,-2.2144,2697
-1219.19,1206.77,6.4224,2878
-1219.19,1206.77,6.4224,2878
-1219.19,1206.77,6.4224,2878
-1386.32,1189.87,5.1671,2792
-1386.32,1189.87,5.1671,2957
-1386.32,1189.87,5.1671,2878
-1254.98,1077.14,18.7414,2478
-1254.98,1077.14,18.7414,3654
-1254.98,1077.14,18.7414,2878
-1270.01,1325.37,3.9325,2475
-1270.01,1325.37,3.9325,3654
-1270.01,1325.37,3.9325,2878
1881.56,4813.74,2.5824,2107
1881.56,4813.74,2.5824,2107
1881.56,4813.74,2.5824,2107
1870.15,4984,2.9338,2475
1870.15,4984,2.9338,659
1870.15,4984,2.9338,2107
1753.85,4848.49,4.2439,2564
1753.85,4848.49,4.2439,2478
1753.85,4848.49,4.2439,2107
2002.92,4870.04,1.6074,2478
2002.92,4870.04,1.6074,2478
2002.92,4870.04,1.6074,2107
3219.47,3664.85,-1.8249,1759
3219.47,3664.85,-1.8249,1759
3219.47,3664.85,-1.8249,1759
3387.8,3681.41,-3.6782,3304
3387.8,3681.41,-3.6782,2083
3387.8,3681.41,-3.6782,1759
3255.03,3795.36,-1.241,4318
3255.03,3795.36,-1.241,2477
3255.03,3795.36,-1.241,1759
3271.5,3545.9,0.4486,2660
3271.5,3545.9,0.4486,2660
3271.5,3545.9,0.4486,1759
-465.112,661.01,1.1463,7770
-465.112,661.01,1.1463,7770
-465.112,661.01,1.1463,7770
-517.932,665.75,1.7793,4373
-517.932,665.75,1.7793,4373
-517.932,665.75,1.7793,4373
-476.427,614.93,2.4999,4373
-476.427,614.93,2.4999,4373
-476.427,614.93,2.4999,4373
-485.6,703.45,-0.3634,14101
-485.6,703.45,-0.3634,14101
-485.6,703.45,-0.3634,14101
-1091.55,1136.94,13.7221,2878
-1091.55,1136.94,13.7221,2878
-1091.55,1136.94,13.7221,2878
-1123.65,964.42,16.5179,2982
-1123.65,964.42,16.5179,3014
-1123.65,964.42,16.5179,2878
3088.15,3731.93,-0.182,1759
3088.15,3731.93,-0.182,1759
3088.15,3731.93,-0.182,1759
3122.26,3909.32,-2.8716,2472
3122.26,3909.32,-2.8716,2466
3122.26,3909.32,-2.8716,12127
1972.29,4694.3,0.2669,2107
1972.29,4694.3,0.2669,2107
1972.29,4694.3,0.2669,2107
2135.7,4756.08,1.7121,618
2135.7,4756.08,1.7121,4318
2135.7,4756.08,1.7121,3821
-1096.58,1302.8,18.9158,2878
-1096.58,1302.8,18.9158,2878
-1096.58,1302.8,18.9158,2878
-1153.71,1460.88,8.6646,2659
-1153.71,1460.88,8.6646,1091
-1153.71,1460.88,8.6646,2878
1805.39,4676.47,0.3695,2107
1805.39,4676.47,0.3695,2107
1805.39,4676.47,0.3695,2107
1637.55,4712.99,1.5601,2914
1637.55,4712.99,1.5601,3403
1637.55,4712.99,1.5601,12404
3100.77,3563.97,-1.8985,3460
3100.77,3563.97,-1.8985,3460
3100.77,3563.97,-1.8985,3460
3155.2,3410.4,-1.2337,3654
3155.2,3410.4,-1.2337,3831
3155.2,3410.4,-1.2337,3460
-423.317,619.72,1.4608,7770
-423.317,619.72,1.4608,7770
-423.317,619.72,1.4608,7770
-426.22,571.92,1.7583,4373
-426.22,571.92,1.7583,4373
-426.22,571.92,1.7583,4373
-979.89,1043.94,10.0794,4595
-979.89,1043.94,10.0794,4595
-979.89,1043.94,10.0794,4595
-1005.08,862.65,6.4083,1112
-1005.08,862.65,6.4083,1807
-1005.08,862.65,6.4083,4595
-435.299,700.91,-0.2327,4375
-435.299,700.91,-0.2327,4375
-435.299,700.91,-0.2327,4375
-453.269,741.14,-1.5211,14121
-453.269,741.14,-1.5211,14121
-453.269,741.14,-1.5211,14121
-418.356,662.24,0.9399,4375
-418.356,662.24,0.9399,4375
-418.356,662.24,0.9399,4375
2950.59,3800.69,-2.5574,12127
2950.59,3800.69,-2.5574,12127
2950.59,3800.69,-2.5574,12127
3017.15,3999.54,-2.8114,3015
3017.15,3999.54,-2.8114,3654
3017.15,3999.54,-2.8114,3403
2892.67,3934.22,-3.0535,3403
2892.67,3934.22,-3.0535,3403
2892.67,3934.22,-3.0535,3403
2928.64,4075.51,-3.9178,1112
2928.64,4075.51,-3.9178,1092
2928.64,4075.51,-3.9178,3403
2846.11,4033.39,-5.2654,3403
2846.11,4033.39,-5.2654,3403
2846.11,4033.39,-5.2654,3403
2856.72,4137.23,-3.0469,2636
2856.72,4137.23,-3.0469,2659
2856.72,4137.23,-3.0469,5079
2780.92,4088.58,-5.3867,8394
2780.92,4088.58,-5.3867,8394
2780.92,4088.58,-5.3867,8394
2784.8,4198.96,-0.7284,4318
2784.8,4198.96,-0.7284,3022
2784.8,4198.96,-0.7284,8393
-362.457,580.09,0.2177,7771
-362.457,580.09,0.2177,7771
-362.457,580.09,0.2177,7771
-358.893,523.84,-0.1173,7772
-358.893,523.84,-0.1173,7772
-358.893,523.84,-0.1173,7772
-371.691,636.28,0.991,6067
-371.691,636.28,0.991,6067
-371.691,636.28,0.991,6067
-885.652,940.98,5.0675,2879
-885.652,940.98,5.0675,2879
-885.652,940.98,5.0675,2879
-919.347,789.07,2.182,2660
-919.347,789.07,2.182,4051
-919.347,789.07,2.182,2879
-816.46,844.41,3.0059,11889
-816.46,844.41,3.0059,11889
-816.46,844.41,3.0059,11889
-833.614,715.49,1.6953,2678
-833.614,715.49,1.6953,2660
-833.614,715.49,1.6953,11890
-749.54,759.25,0.65,1332
-749.54,759.25,0.65,1332
-749.54,759.25,0.65,1332
-764.298,655.99,-1.1921,4318
-764.298,655.99,-1.1921,4378
-764.298,655.99,-1.1921,1332
-687.75,690.08,1.3489,2858
-687.75,690.08,1.3489,2858
-687.75,690.08,1.3489,2858
-694.982,596.5,1.9615,2660
-694.982,596.5,1.9615,4332
-694.982,596.5,1.9615,2856
1703.25,4542.39,1.7569,12404
1703.25,4542.39,1.7569,12404
1703.25,4542.39,1.7569,12404
1521.24,4577.48,1.7704,4318
1521.24,4577.48,1.7704,841
1521.24,4577.48,1.7704,2048
2086.02,4595.81,2.2658,5482
2086.02,4595.81,2.2658,5482
2086.02,4595.81,2.2658,5482
2268.47,4642.13,-1.3802,1205
2268.47,4642.13,-1.3802,3151
2268.47,4642.13,-1.3802,5480
2718.68,4157.39,0.2597,1703
2718.68,4157.39,0.2597,1703
2718.68,4157.39,0.2597,1703
2729.48,4246.44,-1.1018,4318
2729.48,4246.44,-1.1018,4071
2729.48,4246.44,-1.1018,1703
2657.35,4221.22,1.8859,3393
2657.35,4221.22,1.8859,3393
2657.35,4221.22,1.8859,3393
2674.16,4293.93,0.0078,3664
2674.16,4293.93,0.0078,1912
2674.16,4293.93,0.0078,14328
2586.24,4280.24,-0.0009,14326
2586.24,4280.24,-0.0009,14326
2586.24,4280.24,-0.0009,14326
2602.24,4355.65,-1.7852,4318
2602.24,4355.65,-1.7852,4073
2602.24,4355.65,-1.7852,836
-627.981,619.91,3.5395,14098
-627.981,619.91,3.5395,14098
-627.981,619.91,3.5395,14098
-625.666,537.01,5.1051,4332
-625.666,537.01,5.1051,4073
-625.666,537.01,5.1051,14102
-980.547,1422.86,14.8861,9512
-980.547,1422.86,14.8861,9512
-980.547,1422.86,14.8861,9512
-1037.41,1596.38,5.4608,2478
-1037.41,1596.38,5.4608,1092
-1037.41,1596.38,5.4608,9515
1581.42,4409.24,4.2973,2048
1581.42,4409.24,4.2973,2048
1581.42,4409.24,4.2973,2048
1404.94,4441.98,2.4694,4075
1404.94,4441.98,2.4694,4074
1404.94,4441.98,2.4694,2048
2209.53,4516.26,-1.4971,8822
2209.53,4516.26,-1.4971,8822
2209.53,4516.26,-1.4971,8822
2371.73,4553.49,-0.4979,1913
2371.73,4553.49,-0.4979,4381
2371.73,4553.49,-0.4979,8822
2320.88,4451.1,-0.5026,835
2320.88,4451.1,-0.5026,835
2320.88,4451.1,-0.5026,835
2458.4,4479.1,-0.0485,2090
2458.4,4479.1,-0.0485,4311
2458.4,4479.1,-0.0485,2097
2418.83,4392.29,-2.1389,2097
2418.83,4392.29,-2.1389,2097
2418.83,4392.29,-2.1389,2097
2530.32,4417.38,-3.9147,4071
2530.32,4417.38,-3.9147,4367
2530.32,4417.38,-3.9147,3807
2981.47,3441.6,-1.6555,1760
2981.47,3441.6,-1.6555,1760
2981.47,3441.6,-1.6555,1760
3038.9,3274.89,-3.9317,2733
3038.9,3274.89,-3.9317,3023
3038.9,3274.89,-3.9317,1760
-867.939,1561.39,12.9446,4585
-867.939,1561.39,12.9446,4585
-867.939,1561.39,12.9446,4585
-921.106,1731.89,9.7995,1899
-921.106,1731.89,9.7995,2957
-921.106,1731.89,9.7995,4585
1461.41,4274.22,5.3411,3764
1461.41,4274.22,5.3411,3764
1461.41,4274.22,5.3411,3764
1288.64,4306.47,0.8245,3030
1288.64,4306.47,0.8245,3031
1288.64,4306.47,0.8245,3764
1342.89,4138.99,3.4579,8764
1342.89,4138.99,3.4579,8764
1342.89,4138.99,3.4579,8764
1172.34,4170.97,-3.4507,4064
1172.34,4170.97,-3.4507,2472
1172.34,4170.97,-3.4507,8764
1225,4003.28,-5.6393,3762
1225,4003.28,-5.6393,3762
1225,4003.28,-5.6393,3762
1056.04,4035.46,-1.5487,1899
1056.04,4035.46,-1.5487,1809
1056.04,4035.46,-1.5487,3762
1108.52,3866.41,11.5791,3762
1108.52,3866.41,11.5791,3762
1108.52,3866.41,11.5791,3762
939.733,3899.96,2.2188,3026
939.733,3899.96,2.2188,1725
939.733,3899.96,2.2188,3762
993.561,3730.15,0.7165,13956
993.561,3730.15,0.7165,13956
993.561,3730.15,0.7165,13956
823.43,3764.45,-2.2813,3513
823.43,3764.45,-2.2813,1807
823.43,3764.45,-2.2813,13962
878.048,3595.17,-2.3147,6987
878.048,3595.17,-2.3147,6987
878.048,3595.17,-2.3147,6987
707.128,3628.95,3.2287,3027
707.128,3628.95,3.2287,4681
707.128,3628.95,3.2287,1908
761.306,3460.4,0.8215,1908
761.306,3460.4,0.8215,1908
761.306,3460.4,0.8215,1908
590.826,3493.45,3.8444,3018
590.826,3493.45,3.8444,3019
590.826,3493.45,3.8444,181
644.546,3324.67,1.4276,731
644.546,3324.67,1.4276,731
644.546,3324.67,1.4276,731
474.523,3357.94,-6.2933,3019
474.523,3357.94,-6.2933,2983
474.523,3357.94,-6.2933,14890
528.861,3188.47,5.1367,14886
528.861,3188.47,5.1367,14886
528.861,3188.47,5.1367,14886
358.221,3222.44,2.6246,2990
358.221,3222.44,2.6246,3019
358.221,3222.44,2.6246,48
413.013,3053.4,1.7778,48
413.013,3053.4,1.7778,48
413.013,3053.4,1.7778,48
241.918,3086.93,-0.0342,3654
241.918,3086.93,-0.0342,2552
241.918,3086.93,-0.0342,310
295.837,2918.77,3.9456,2554
295.837,2918.77,3.9456,2554
295.837,2918.77,3.9456,2554
125.616,2951.43,4.6289,3015
125.616,2951.43,4.6289,3019
125.616,2951.43,4.6289,2553
178.319,2783.47,2.2052,5945
178.319,2783.47,2.2052,5945
178.319,2783.47,2.2052,5945
9.313,2815.92,0.2865,2991
9.313,2815.92,0.2865,2998
9.313,2815.92,0.2865,13462
61.825,2646.81,-4.0262,13460
61.825,2646.81,-4.0262,13460
61.825,2646.81,-4.0262,13460
-106.989,2680.42,1.4218,4432
-106.989,2680.42,1.4218,2999
-106.989,2680.42,1.4218,2656
-53.203,2510.38,0.9063,2656
-53.203,2510.38,0.9063,2656
-53.203,2510.38,0.9063,2656
-223.292,2544.91,1.8586,3655
-223.292,2544.91,1.8586,4072
-223.292,2544.91,1.8586,2656
-168.643,2375.35,0.8616,9327
-168.643,2375.35,0.8616,9327
-168.643,2375.35,0.8616,9327
-339.594,2409.41,4.1501,3027
-339.594,2409.41,4.1501,3655
-339.594,2409.41,4.1501,9321
-285.619,2240.87,1.9054,334
-285.619,2240.87,1.9054,334
-285.619,2240.87,1.9054,334
-455.897,2273.9,-0.4113,3027
-455.897,2273.9,-0.4113,2994
-455.897,2273.9,-0.4113,2649
-403.114,2105.38,2.0919,2649
-403.114,2105.38,2.0919,2649
-403.114,2105.38,2.0919,2649
-572.199,2138.4,-0.7178,2995
-572.199,2138.4,-0.7178,2986
-572.199,2138.4,-0.7178,332
-518.887,1968.67,1.1571,1211
-518.887,1968.67,1.1571,1211
-518.887,1968.67,1.1571,1211
-688.501,2002.89,1.0881,3654
-688.501,2002.89,1.0881,3156
-688.501,2002.89,1.0881,14521
-634.178,1833.45,16.7288,14520
-634.178,1833.45,16.7288,14520
-634.178,1833.45,16.7288,14520
-804.804,1867.39,4.4831,2681
-804.804,1867.39,4.4831,2478
-804.804,1867.39,4.4831,2867
-751.319,1698.63,19.325,2867
-751.319,1698.63,19.325,4586
-751.319,1698.63,19.325,4586
2865.7,3308.5,0.0676,6817
2865.7,3308.5,0.0676,6817
2865.7,3308.5,0.0676,6817
2922.59,3139.39,-0.1339,2987
2922.59,3139.39,-0.1339,2914
2922.59,3139.39,-0.1339,6815
-397.551,734.55,0.2858,12771
-397.551,734.55,0.2858,12771
-397.551,734.55,0.2858,12771
-420.937,778.83,-2.6671,14109
-420.937,778.83,-2.6671,14109
-420.937,778.83,-2.6671,14109
-378.126,687.21,1.092,12773
-378.126,687.21,1.092,12773
-378.126,687.21,1.092,12773
2505.78,4334.71,-3.124,3807
2505.78,4334.71,-3.124,3807
2505.78,4334.71,-3.124,3807
2751.48,3171.01,-1.3499,138
2751.48,3171.01,-1.3499,138
2751.48,3171.01,-1.3499,138
2806.29,3003.89,-3.9218,2920
2806.29,3003.89,-3.9218,2987
2806.29,3003.89,-3.9218,138
2635.25,3034.44,-1.784,3453
2635.25,3034.44,-1.784,3453
2635.25,3034.44,-1.784,3453
2689.99,2868.38,-7.4113,2792
