child;parent
0;14945
1;14946
2;14947
3;14948
4;14949
5;14950
6;14951
7;14952
8;14953
9;14954
10;14955
11;14956
12;14957
13;14958
14;14959
15;14960
16;14961
17;14962
18;14963
19;14964
20;14965
21;14966
22;14967
23;14968
24;14969
25;14970
26;14971
27;14972
28;14973
29;14974
30;14975
31;14976
32;14977
33;14978
34;14979
35;14980
36;14981
37;14982
38;14983
39;14984
40;14985
41;14986
42;14987
43;14988
44;14989
45;14990
46;14991
47;14992
48;14993
49;14994
50;14995
51;14996
52;14997
53;14998
54;14999
55;15000
56;15001
57;15002
58;15003
59;15004
60;15005
61;15006
62;15007
63;15008
64;15009
65;15010
66;15011
67;15012
68;15013
69;15014
70;15015
71;15016
72;15017
73;15018
74;15019
75;15020
76;15021
77;15022
78;15023
79;15024
80;15025
81;15026
82;15027
83;15028
84;15029
85;15030
86;15031
87;15032
88;15033
89;15034
90;15035
91;15036
92;15037
93;15038
94;15039
95;15040
96;15041
97;15042
98;15043
99;15044
100;15045
101;15046
102;15047
103;15048
104;15049
105;15050
106;15051
107;15052
108;15053
109;15054
110;15055
111;15056
112;15057
113;15058
114;15059
115;15060
116;15061
117;15062
118;15063
119;15064
120;15065
121;15066
122;15067
123;15068
124;15069
125;15070
126;15071
127;15072
128;15073
129;15074
130;15075
131;15076
132;15077
133;15078
134;15079
135;15080
136;15081
137;15082
138;15083
139;15084
140;15085
141;15086
142;15087
143;15088
144;15089
145;15090
146;15091
147;15092
148;15093
149;15094
150;15095
151;15096
152;15097
153;15098
154;15099
155;15100
156;15101
157;15102
158;15103
159;15104
160;15105
161;15106
162;15107
163;15108
164;15109
165;15110
166;15111
167;15112
168;15113
169;15114
170;15115
171;15116
172;15117
173;15118
174;15119
175;15120
176;15121
177;15122
178;15123
179;15124
180;15125
181;15126
182;15127
183;15128
184;15129
185;15130
186;15131
187;15132
188;15133
189;15134
190;15135
191;15136
192;15137
193;15138
194;15139
195;15140
196;15141
197;15142
198;15143
199;15144
200;15145
201;15146
202;15147
203;15148
204;15149
205;15150
206;15151
207;15152
208;15153
209;15154
210;15155
211;15156
212;15157
213;15158
214;15159
215;15160
216;15161
217;15162
218;15163
219;15164
220;15165
221;15166
222;15167
223;15168
224;15169
225;15170
226;15171
227;15172
228;15173
229;15174
230;15175
231;15176
232;15177
233;15178
234;15179
235;15180
236;15181
237;15182
238;15183
239;15184
240;15185
241;15186
242;15187
243;15188
244;15189
245;15190
246;15191
247;15192
248;15193
249;15194
250;15195
251;15196
252;15197
253;15198
254;15199
255;15200
256;15201
257;15202
258;15203
259;15204
260;15205
261;15206
262;15207
263;15208
264;15209
265;15210
266;15211
267;15212
268;15213
269;15214
270;15215
271;15216
272;15217
273;15218
274;15219
275;15220
276;15221
277;15222
278;15223
279;15224
280;15225
281;15226
282;15227
283;15228
284;15229
285;15230
286;15231
287;15232
288;15233
289;15234
290;15235
291;15236
292;15237
293;15238
294;15239
295;15240
296;15241
297;15242
298;15243
299;15244
300;15245
301;15246
302;15247
303;15248
304;15249
305;15250
306;15251
307;15252
308;15253
309;15254
310;15255
311;15256
312;15257
313;15258
314;15259
315;15260
316;15261
317;15262
318;15263
319;15264
320;15265
321;15266
322;15267
323;15268
324;15269
325;15270
326;15271
327;15272
328;15273
329;15274
330;15275
331;15276
332;15277
333;15278
334;15279
335;15280
336;15281
337;15282
338;15283
339;15284
340;15285
341;15286
342;15287
343;15288
344;15289
345;15290
346;15291
347;15292
348;15293
349;15294
350;15295
351;15296
352;15297
353;15298
354;15299
355;15300
356;15301
357;15302
358;15303
359;15304
360;15305
361;15306
362;15307
363;15308
364;15309
365;15310
366;15311
367;15312
368;15313
369;15314
370;15315
371;15316
372;15317
373;15318
374;15319
375;15320
376;15321
377;15322
378;15323
379;15324
380;15325
381;15326
382;15327
383;15328
384;15329
385;15330
386;15331
387;15332
388;15333
389;15334
390;15335
391;15336
392;15337
393;15338
394;15339
395;15340
396;15341
397;15342
398;15343
399;15344
400;15345
401;15346
402;15347
403;15348
404;15349
405;15350
406;15351
407;15352
408;15353
409;15354
410;15355
411;15356
412;15357
413;15358
414;15359
415;15360
416;15361
417;15362
418;15363
419;15364
420;15365
421;15366
422;15367
423;15368
424;15369
425;15370
426;15371
427;15372
428;15373
429;15374
430;15375
431;15376
432;15377
433;15378
434;15379
435;15380
436;15381
437;15382
438;15383
439;15384
440;15385
441;15386
442;15387
443;15388
444;15389
445;15390
446;15391
447;15392
448;15393
449;15394
450;15395
451;15396
452;15397
453;15398
454;15399
455;15400
456;15401
457;15402
458;15403
459;15404
460;15405
461;15406
462;15407
463;15408
464;15409
465;15410
466;15411
467;15412
468;15413
469;15414
470;15415
471;15416
472;15417
473;15418
474;15419
475;15420
476;15421
477;15422
478;15423
479;15424
480;15425
481;15426
482;15427
483;15428
484;15429
485;15430
486;15431
487;15432
488;15433
489;15434
490;15435
491;15436
492;15437
493;15438
494;15439
495;15440
496;15441
497;15442
498;15443
499;15444
500;15445
501;15446
502;15447
503;15448
504;15449
505;15450
506;15451
507;15452
508;15453
509;15454
510;15455
511;15456
512;15457
513;15458
514;15459
515;15460
516;15461
517;15462
518;15463
519;15464
520;15465
521;15466
522;15467
523;15468
524;15469
525;15470
526;15471
527;15472
528;15473
529;15474
530;15475
531;15476
532;15477
533;15478
534;15479
535;15480
536;15481
537;15482
538;15483
539;15484
540;15485
541;15486
542;15487
543;15488
544;15489
545;15490
546;15491
547;15492
548;15493
549;15494
550;15495
551;15496
552;15497
553;15498
554;15499
555;15500
556;15501
557;15502
558;15503
559;15504
560;15505
561;15506
562;15507
563;15508
564;15509
565;15510
566;15511
567;15512
568;15513
569;15514
570;15515
571;15516
572;15517
573;15518
574;15519
575;15520
576;15521
577;15522
578;15523
579;15524
580;15525
581;15526
582;15527
583;15528
584;15529
585;15530
586;15531
587;15532
588;15533
589;15534
590;15535
591;15536
592;15537
593;15538
594;15539
595;15540
596;15541
597;15542
598;15543
599;15544
600;15545
601;15546
602;15547
603;15548
604;15549
605;15550
606;15551
607;15552
608;15553
609;15554
610;15555
611;15556
612;15557
613;15558
614;15559
615;15560
616;15561
617;15562
618;15563
619;15564
620;15565
621;15566
622;15567
623;15568
624;15569
625;15570
626;15571
627;15572
628;15573
629;15574
630;15575
631;15576
632;15577
633;15578
634;15579
635;15580
636;15581
637;15582
638;15583
639;15584
640;15585
641;15586
642;15587
643;15588
644;15589
645;15590
646;15591
647;15592
648;15593
649;15594
650;15595
651;15596
652;15597
653;15598
654;15599
655;15600
656;15601
657;15602
658;15603
659;15604
660;15605
661;15606
662;15607
663;15608
664;15609
665;15610
666;15611
667;15612
668;15613
669;15614
670;15615
671;15616
672;15617
673;15618
674;15619
675;15620
676;15621
677;15622
678;15623
679;15624
680;15625
681;15626
682;15627
683;15628
684;15629
685;15630
686;15631
687;15632
688;15633
689;15634
690;15635
691;15636
692;15637
693;15638
694;15639
695;15640
696;15641
697;15642
698;15643
699;15644
700;15645
701;15646
702;15647
703;15648
704;15649
705;15650
706;15651
707;15652
708;15653
709;15654
710;15655
711;15656
712;15657
713;15658
714;15659
715;15660
716;15661
717;15662
718;15663
719;15664
720;15665
721;15666
722;15667
723;15668
724;15669
725;15670
726;15671
727;15672
728;15673
729;15674
730;15675
731;15676
732;15677
733;15678
734;15679
735;15680
736;15681
737;15682
738;15683
739;15684
740;15685
741;15686
742;15687
743;15688
744;15689
745;15690
746;15691
747;15692
748;15693
749;15694
750;15695
751;15696
752;15697
753;15698
754;15699
755;15700
756;15701
757;15702
758;15703
759;15704
760;15705
761;15706
762;15707
763;15708
764;15709
765;15710
766;15711
767;15712
768;15713
769;15714
770;15715
771;15716
772;15717
773;15718
774;15719
775;15720
776;15721
777;15722
778;15723
779;15724
780;15725
781;15726
782;15727
783;15728
784;15729
785;15730
786;15731
787;15732
788;15733
789;15734
790;15735
791;15736
792;15737
793;15738
794;15739
795;15740
796;15741
797;15742
798;15743
799;15744
800;15745
801;15746
802;15747
803;15748
804;15749
805;15750
806;15751
807;15752
808;15753
809;15754
810;15755
811;15756
812;15757
813;15758
814;15759
815;15760
816;15761
817;15762
818;15763
819;15764
820;15765
821;15766
822;15767
823;15768
824;15769
825;15770
826;15771
827;15772
828;15773
829;15774
830;15775
831;15776
832;15777
833;15778
834;15779
835;15780
836;15781
837;15782
838;15783
839;15784
840;15785
841;15786
842;15787
843;15788
844;15789
845;15790
846;15791
847;15792
848;15793
849;15794
850;15795
851;15796
852;15797
853;15798
854;15799
855;15800
856;15801
857;15802
858;15803
859;15804
860;15805
861;15806
862;15807
863;15808
864;15809
865;15810
866;15811
867;15812
868;15813
869;15814
870;15815
871;15816
872;15817
873;15818
874;15819
875;15820
876;15821
877;15822
878;15823
879;15824
880;15825
881;15826
882;15827
883;15828
884;15829
885;15830
886;15831
887;15832
888;15833
889;15834
890;15835
891;15836
892;15837
893;15838
894;15839
895;15840
896;15841
897;15842
898;15843
899;15844
900;15845
901;15846
902;15847
903;15848
904;15849
905;15850
906;15851
907;15852
908;15853
909;15854
910;15855
911;15856
912;15857
913;15858
914;15859
915;15860
916;15861
917;15862
918;15863
919;15864
920;15865
921;15866
922;15867
923;15868
924;15869
925;15870
926;15871
927;15872
928;15873
929;15874
930;15875
931;15876
932;15877
933;15878
934;15879
935;15880
936;15881
937;15882
938;15883
939;15884
940;15885
941;15886
942;15887
943;15888
944;15889
945;15890
946;15891
947;15892
948;15893
949;15894
950;15895
951;15896
952;15897
953;15898
954;15899
955;15900
956;15901
957;15902
958;15903
959;15904
960;15905
961;15906
962;15907
963;15908
964;15909
965;15910
966;15911
967;15912
968;15913
969;15914
970;15915
971;15916
972;15917
973;15918
974;15919
975;15920
976;15921
977;15922
978;15923
979;15924
980;15925
981;15926
982;15927
983;15928
984;15929
985;15930
986;15931
987;15932
988;15933
989;15934
990;15935
991;15936
992;15937
993;15938
994;15939
995;15940
996;15941
997;15942
998;15943
999;15944
1000;15945
1001;15946
1002;15947
1003;15948
1004;15949
1005;15950
1006;15951
1007;15952
1008;15953
1009;15954
1010;15955
1011;15956
1012;15957
1013;15958
1014;15959
1015;15960
1016;15961
1017;15962
1018;15963
1019;15964
1020;15965
1021;15966
1022;15967
1023;15968
1024;15969
1025;15970
1026;15971
1027;15972
1028;15973
1029;15974
1030;15975
1031;15976
1032;15977
1033;15978
1034;15979
1035;15980
1036;15981
1037;15982
1038;15983
1039;15984
1040;15985
1041;15986
1042;15987
1043;15988
1044;15989
1045;15990
1046;15991
1047;15992
1048;15993
1049;15994
1050;15995
1051;15996
1052;15997
1053;15998
1054;15999
1055;16000
1056;16001
1057;16002
1058;16003
1059;16004
1060;16005
1061;16006
1062;16007
1063;16008
1064;16009
1065;16010
1066;16011
1067;16012
1068;16013
1069;16014
1070;16015
1071;16016
1072;16017
1073;16018
1074;16019
1075;16020
1076;16021
1077;16022
1078;16023
1079;16024
1080;16025
1081;16026
1082;16027
1083;16028
1084;16029
1085;16030
1086;16031
1087;16032
1088;16033
1089;16034
1090;16035
1091;16036
1092;16037
1093;16038
1094;16039
1095;16040
1096;16041
1097;16042
1098;16043
1099;16044
1100;16045
1101;16046
1102;16047
1103;16048
1104;16049
1105;16050
1106;16051
1107;16052
1108;16053
1109;16054
1110;16055
1111;16056
1112;16057
1113;16058
1114;16059
1115;16060
1116;16061
1117;16062
1118;16063
1119;16064
1120;16065
1121;16066
1122;16067
1123;16068
1124;16069
1125;16070
1126;16071
1127;16072
1128;16073
1129;16074
1130;16075
1131;16076
1132;16077
1133;16078
1134;16079
1135;16080
1136;16081
1137;16082
1138;16083
1139;16084
1140;16085
1141;16086
1142;16087
1143;16088
1144;16089
1145;16090
1146;16091
1147;16092
1148;16093
1149;16094
1150;16095
1151;16096
1152;16097
1153;16098
1154;16099
1155;16100
1156;16101
1157;16102
1158;16103
1159;16104
1160;16105
1161;16106
1162;16107
1163;16108
1164;16109
1165;16110
1166;16111
1167;16112
1168;16113
1169;16114
1170;16115
1171;16116
1172;16117
1173;16118
1174;16119
1175;16120
1176;16121
1177;16122
1178;16123
1179;16124
1180;16125
1181;16126
1182;16127
1183;16128
1184;16129
1185;16130
1186;16131
1187;16132
1188;16133
1189;16134
1190;16135
1191;16136
1192;16137
1193;16138
1194;16139
1195;16140
1196;16141
1197;16142
1198;16143
1199;16144
1200;16145
1201;16146
1202;16147
1203;16148
1204;16149
1205;16150
1206;16151
1207;16152
1208;16153
1209;16154
1210;16155
1211;16156
1212;16157
1213;16158
1214;16159
1215;16160
1216;16161
1217;16162
1218;16163
1219;16164
1220;16165
1221;16166
1222;16167
1223;16168
1224;16169
1225;16170
1226;16171
1227;16172
1228;16173
1229;16174
1230;16175
1231;16176
1232;16177
1233;16178
1234;16179
1235;16180
1236;16181
1237;16182
1238;16183
1239;16184
1240;16185
1241;16186
1242;16187
1243;16188
1244;16189
1245;16190
1246;16191
1247;16192
1248;16193
1249;16194
1250;16195
1251;16196
1252;16197
1253;16198
1254;16199
1255;16200
1256;16201
1257;16202
1258;16203
1259;16204
1260;16205
1261;16206
1262;16207
1263;16208
1264;16209
1265;16210
1266;16211
1267;16212
1268;16213
1269;16214
1270;16215
1271;16216
1272;16217
1273;16218
1274;16219
1275;16220
1276;16221
1277;16222
1278;16223
1279;16224
1280;16225
1281;16226
1282;16227
1283;16228
1284;16229
