id;size;rank;Rdiag
0;3;3;
1;6;6;
2;5;5;
3;1;1;
4;3;3;
5;4;4;
6;5;5;
7;3;3;
8;1;1;
9;3;3;
10;3;3;
11;3;3;
12;6;6;
13;3;3;
14;5;5;
15;3;3;
16;3;3;
17;3;3;
18;9;9;
19;9;9;
20;3;3;
21;2;2;
22;9;9;
23;3;3;
24;6;6;
25;1;1;
26;7;7;
27;7;7;
28;3;3;
29;3;3;
30;3;3;
31;2;2;
32;3;3;
33;3;3;
34;3;3;
35;3;3;
36;3;3;
37;3;3;
38;3;3;
39;6;6;
40;3;3;
41;3;3;
42;1;1;
43;3;3;
44;3;3;
45;3;3;
46;4;4;
47;3;3;
48;4;4;
49;4;4;
50;6;6;
51;7;7;
52;5;5;
53;5;5;
54;3;3;
55;3;3;
56;6;6;
57;6;6;
58;3;3;
59;6;6;
60;6;6;
61;3;3;
62;3;3;
63;4;4;
64;6;6;
65;3;3;
66;6;6;
67;4;4;
68;6;6;
69;3;3;
70;3;3;
71;3;3;
72;3;3;
73;11;11;
74;11;11;
75;3;3;
76;3;3;
77;3;3;
78;3;3;
79;12;12;
80;6;6;
81;4;4;
82;3;3;
83;6;6;
84;3;3;
85;12;12;
86;3;3;
87;3;3;
88;3;3;
89;3;3;
90;6;6;
91;3;3;
92;6;6;
93;3;3;
94;10;10;
95;2;2;
96;6;6;
97;1;1;
98;12;12;
99;4;4;
100;3;3;
101;3;3;
102;12;12;
103;6;6;
104;4;4;
105;3;3;
106;6;6;
107;6;6;
108;6;6;
109;9;9;
110;3;3;
111;6;6;
112;9;9;
113;7;7;
114;5;5;
115;3;3;
116;6;6;
117;3;3;
118;3;3;
119;5;5;
120;12;12;
121;3;3;
122;9;9;
123;3;3;
124;3;3;
125;3;3;
126;3;3;
127;7;7;
128;7;7;
129;6;6;
130;7;7;
131;8;8;
132;3;3;
133;9;9;
134;6;6;
135;3;3;
136;9;9;
137;6;6;
138;8;8;
139;2;2;
140;4;4;
141;3;3;
142;6;6;
143;6;6;
144;3;3;
145;3;3;
146;9;9;
147;6;6;
148;3;3;
149;6;6;
150;12;12;
151;6;6;
152;12;12;
153;3;3;
154;6;6;
155;1;1;
156;5;5;
157;6;6;
158;1;1;
159;3;3;
160;10;10;
161;5;5;
162;3;3;
163;3;3;
164;4;4;
165;12;12;
166;4;4;
167;6;6;
168;10;10;
169;6;6;
170;9;9;
171;3;3;
172;3;3;
173;3;3;
174;6;6;
175;1;1;
176;6;6;
177;3;3;
178;5;5;
179;6;6;
180;3;3;
181;11;11;
182;6;6;
183;3;3;
184;6;6;
185;9;9;
186;4;4;
187;8;8;
188;4;4;
189;6;6;
190;9;9;
191;6;6;
192;3;3;
193;3;3;
194;3;3;
195;9;9;
196;6;6;
197;4;4;
198;3;3;
199;1;1;
200;6;6;
201;9;9;
202;3;3;
203;3;3;
204;3;3;
205;3;3;
206;2;2;
207;3;3;
208;10;10;
209;12;12;
210;3;3;
211;3;3;
212;9;9;
213;6;6;
214;1;1;
215;5;5;
216;3;3;
217;4;4;
218;1;1;
219;3;3;
220;3;3;
221;7;7;
222;2;2;
223;6;6;
224;1;1;
225;3;3;
226;3;3;
227;3;3;
228;2;2;
229;6;6;
230;9;9;
231;3;3;
232;6;6;
233;6;6;
234;6;6;
235;6;6;
236;1;1;
237;3;3;
238;1;1;
239;6;6;
240;9;9;
241;6;6;
242;6;6;
243;8;8;
244;12;12;
245;3;3;
246;3;3;
247;11;11;
248;6;6;
249;6;6;
250;6;6;
251;7;7;
252;1;1;
253;3;3;
254;9;9;
255;3;3;
256;3;3;
257;3;3;
258;6;6;
259;3;3;
260;3;3;
261;6;6;
262;3;3;
263;11;11;
264;3;3;
265;3;3;
266;15;15;
267;6;6;
268;6;6;
269;5;5;
270;3;3;
271;3;3;
272;12;12;
273;4;4;
274;5;5;
275;3;3;
276;3;3;
277;3;3;
278;3;3;
279;6;6;
280;9;9;
281;3;3;
282;6;6;
283;3;3;
284;3;3;
285;3;3;
286;6;6;
287;2;2;
288;6;6;
289;7;7;
290;1;1;
291;9;9;
292;4;4;
293;7;7;
294;6;6;
295;3;3;
296;3;3;
297;3;3;
298;3;3;
299;6;6;
300;3;3;
301;1;1;
302;2;2;
303;9;9;
304;9;9;
305;3;3;
306;1;1;
307;3;3;
308;6;6;
309;3;3;
310;5;5;
311;2;2;
312;14;14;
313;6;6;
314;4;4;
315;6;6;
316;3;3;
317;6;6;
318;9;9;
319;3;3;
320;6;6;
321;9;9;
322;6;6;
323;9;9;
324;7;7;
325;9;9;
326;6;6;
327;12;12;
328;3;3;
329;3;3;
330;1;1;
331;6;6;
332;5;5;
333;3;3;
334;3;3;
335;10;10;
336;3;3;
337;7;7;
338;6;6;
339;9;9;
340;1;1;
341;6;6;
342;3;3;
343;6;6;
344;3;3;
345;8;8;
346;6;6;
347;3;3;
348;3;3;
349;6;6;
350;9;9;
351;3;3;
352;3;3;
353;3;3;
354;3;3;
355;1;1;
356;3;3;
357;3;3;
358;6;6;
359;4;4;
360;6;6;
361;1;1;
362;6;6;
363;16;16;
364;9;9;
365;3;3;
366;3;3;
367;1;1;
368;9;9;
369;6;6;
370;1;1;
371;1;1;
372;3;3;
373;13;13;
374;6;6;
375;6;6;
376;9;9;
377;3;3;
378;4;4;
379;3;3;
380;3;3;
381;6;6;
382;3;3;
383;6;6;
384;12;12;
385;1;1;
386;3;3;
387;3;3;
388;12;12;
389;8;8;
390;6;6;
391;3;3;
392;1;1;
393;3;3;
394;3;3;
395;3;3;
396;9;9;
397;2;2;
398;4;4;
399;1;1;
400;8;8;
401;11;11;
402;9;9;
403;5;5;
404;3;3;
405;6;6;
406;6;6;
407;6;6;
408;6;6;
409;9;9;
410;6;6;
411;6;6;
412;3;3;
413;6;6;
414;3;3;
415;3;3;
416;9;9;
417;9;9;
418;3;3;
419;6;6;
420;6;6;
421;3;3;
422;3;3;
423;12;12;
424;2;2;
425;4;4;
426;6;6;
427;6;6;
428;9;9;
429;3;3;
430;4;4;
431;6;6;
432;3;3;
433;9;9;
434;6;6;
435;3;3;
436;6;6;
437;15;15;
438;3;3;
439;6;6;
440;6;6;
441;3;3;
442;9;9;
443;9;9;
444;6;6;
445;9;9;
446;6;6;
447;3;3;
448;6;6;
449;3;3;
450;3;3;
451;6;6;
452;8;8;
453;9;9;
454;3;3;
455;12;12;
456;3;3;
457;6;6;
458;6;6;
459;4;4;
460;5;5;
461;5;5;
462;3;3;
463;3;3;
464;9;9;
465;3;3;
466;14;14;
467;6;6;
468;5;5;
469;9;9;
470;3;3;
471;9;9;
472;1;1;
473;6;6;
474;6;6;
475;6;6;
476;3;3;
477;6;6;
478;1;1;
479;9;9;
480;3;3;
481;6;6;
482;3;3;
483;3;3;
484;7;7;
485;9;9;
486;12;12;
487;3;3;
488;12;12;
489;6;6;
490;6;6;
491;3;3;
492;6;6;
493;6;6;
494;12;12;
495;15;15;
496;9;9;
497;3;3;
498;11;11;
499;3;3;
500;3;3;
501;9;9;
502;3;3;
503;2;2;
504;1;1;
505;3;3;
506;9;9;
507;9;9;
508;3;3;
509;5;5;
510;6;6;
511;6;6;
512;3;3;
513;3;3;
514;6;6;
515;3;3;
516;3;3;
517;3;3;
518;3;3;
519;12;12;
520;3;3;
521;6;6;
522;1;1;
523;2;2;
524;3;3;
525;6;6;
526;4;4;
527;6;6;
528;3;3;
529;1;1;
530;3;3;
531;1;1;
532;12;12;
533;6;6;
534;3;3;
535;4;4;
536;5;5;
537;1;1;
538;12;12;
539;9;9;
540;3;3;
541;9;9;
542;6;6;
543;9;9;
544;3;3;
545;3;3;
546;6;6;
547;12;12;
548;3;3;
549;4;4;
550;3;3;
551;6;6;
552;9;9;
553;3;3;
554;4;4;
555;7;7;
556;3;3;
557;3;3;
558;7;7;
559;9;9;
560;3;3;
561;4;4;
562;3;3;
563;6;6;
564;3;3;
565;3;3;
566;9;9;
567;3;3;
568;9;9;
569;2;2;
570;9;9;
571;7;7;
572;3;3;
573;3;3;
574;3;3;
575;3;3;
576;1;1;
577;4;4;
578;3;3;
579;9;9;
580;4;4;
581;11;11;
582;5;5;
583;3;3;
584;5;5;
585;6;6;
586;3;3;
587;3;3;
588;6;6;
589;4;4;
590;1;1;
591;7;7;
592;3;3;
593;4;4;
594;5;5;
595;5;5;
596;4;4;
597;4;4;
598;12;12;
599;6;6;
600;6;6;
601;8;8;
602;3;3;
603;4;4;
604;1;1;
605;3;3;
606;5;5;
607;7;7;
608;4;4;
609;5;5;
610;7;7;
611;6;6;
612;7;7;
613;6;6;
614;10;10;
615;6;6;
616;6;6;
617;4;4;
618;9;9;
619;8;8;
620;1;1;
621;6;6;
622;1;1;
623;5;5;
624;11;11;
625;3;3;
626;3;3;
627;6;6;
628;3;3;
629;3;3;
630;3;3;
631;4;4;
632;6;6;
633;4;4;
634;4;4;
635;3;3;
636;3;3;
637;5;5;
638;3;3;
639;4;4;
640;3;3;
641;3;3;
642;3;3;
643;9;9;
644;2;2;
645;6;6;
646;6;6;
647;9;9;
648;3;3;
649;6;6;
650;6;6;
651;9;9;
652;6;6;
653;6;6;
654;6;6;
655;3;3;
656;3;3;
657;3;3;
658;3;3;
659;4;4;
660;3;3;
661;12;12;
662;9;9;
663;12;12;
664;3;3;
665;6;6;
666;1;1;
667;6;6;
668;6;6;
669;3;3;
670;1;1;
671;5;5;
672;1;1;
673;3;3;
674;5;5;
675;9;9;
676;4;4;
677;3;3;
678;7;7;
679;3;3;
680;7;7;
681;4;4;
682;5;5;
683;2;2;
684;3;3;
685;3;3;
686;7;7;
687;3;3;
688;7;7;
689;5;5;
690;3;3;
691;9;9;
692;3;3;
693;3;3;
694;5;5;
695;3;3;
696;4;4;
697;5;5;
698;3;3;
699;6;6;
700;3;3;
701;9;9;
702;4;4;
703;2;2;
704;12;12;
705;6;6;
706;7;7;
707;8;8;
708;9;9;
709;7;7;
710;12;12;
711;3;3;
712;3;3;
713;6;6;
714;1;1;
715;9;9;
716;9;9;
717;6;6;
718;1;1;
719;3;3;
720;3;3;
721;3;3;
722;8;8;
723;4;4;
724;4;4;
725;7;7;
726;5;5;
727;3;3;
728;1;1;
729;6;6;
730;3;3;
731;15;15;
732;6;6;
733;3;3;
734;6;6;
735;7;7;
736;12;12;
737;6;6;
738;12;12;
739;12;12;
740;3;3;
741;6;6;
742;11;11;
743;1;1;
744;12;12;
745;5;5;
746;6;6;
747;11;11;
748;1;1;
749;3;3;
750;3;3;
751;12;12;
752;2;2;
753;3;3;
754;3;3;
755;3;3;
756;1;1;
757;8;8;
758;3;3;
759;6;6;
760;6;6;
761;6;6;
762;6;6;
763;8;8;
764;5;5;
765;9;9;
766;4;4;
767;3;3;
768;1;1;
769;8;8;
770;3;3;
771;6;6;
772;4;4;
773;5;5;
774;3;3;
775;2;2;
776;8;8;
777;1;1;
778;9;9;
779;4;4;
780;8;8;
781;4;4;
782;4;4;
783;3;3;
784;3;3;
785;6;6;
786;6;6;
787;18;18;
788;6;6;
789;3;3;
790;3;3;
791;4;4;
792;3;3;
793;6;6;
794;4;4;
795;9;9;
796;6;6;
797;6;6;
798;3;3;
799;5;5;
800;9;9;
801;6;6;
802;6;6;
803;5;5;
804;5;5;
805;7;7;
806;3;3;
807;12;12;
808;3;3;
