id,size,rank,Rdiag
0,597,597,
1,2987,2987,
2,414,414,
3,4671,4671,
4,72,72,
5,2884,2884,
6,558,558,
7,3663,3663,
8,288,288,
9,3471,3471,
10,708,708,
11,3276,3276,
12,510,510,
13,3247,3247,
14,204,204,
15,3342,3342,
16,582,582,
17,4535,4535,
18,3532,3532,
19,372,372,
20,5288,5288,
21,147,147,
22,3302,3302,
23,18,18,
24,2563,2563,
25,300,300,
26,3533,3533,
27,306,306,
28,3995,3995,
29,2986,2986,
30,63,63,
31,332,182,
32,45,45,
33,295,122,
34,51,51,
35,260,150,
36,51,51,
37,304,133,
38,369,133,
39,21,21,
40,495,47,
41,9,9,
42,370,32,
43,192,56,
44,30,30,
45,12,12,
46,3,3,
47,248,66,
48,226,61,
49,60,49,
50,24,24,
51,24,24,
52,1,1,
53,6,6,
54,30,30,
55,3,3,
56,3,3,
57,3,3,
58,283,60,
59,9,9,
60,232,54,
61,15,15,
62,12,12,
63,9,9,
64,12,12,
65,4,4,
66,51,51,
67,21,21,
68,3,3,
69,84,68,
70,36,36,
71,6,6,
72,42,42,
73,18,18,
74,3,3,
75,129,27,
76,198,55,
77,12,12,
78,228,66,
79,9,9,
80,9,9,
81,6,6,
82,9,9,
83,258,77,
84,4,4,
85,107,23,
86,4,4,
87,6,6,
88,9,9,
89,3,3,
90,21,21,
91,21,21,
92,263,59,
93,171,37,
94,25,25,
95,295,81,
96,97,44,
97,43,43,
98,12,12,
99,30,30,
100,3,3,
101,33,33,
102,275,71,
103,7,7,
104,3,3,
105,281,56,
106,15,15,
107,15,15,
108,7,7,
109,6,6,
110,287,64,
111,250,68,
112,25,25,
113,12,12,
114,537,193,
115,288,106,
116,51,51,
117,51,51,
118,57,57,
119,30,29,
120,12,12,
121,3,3,
122,30,30,
123,6,6,
124,3,3,
125,3,3,
126,3,3,
127,72,72,
128,450,133,
129,63,63,
130,45,45,
131,45,45,
132,30,30,
133,12,12,
134,3,3,
135,30,30,
136,30,30,
137,3,3,
138,372,132,
139,126,82,
140,21,21,
141,21,21,
142,18,18,
143,279,73,
144,9,9,
145,21,21,
146,33,33,
147,63,63,
148,182,182,
149,45,45,
150,122,122,
151,51,51,
152,150,150,
153,51,51,
154,133,133,
155,133,133,
156,21,21,
157,47,47,
158,9,9,
159,32,32,
160,56,56,
161,45,45,
162,225,65,
163,45,45,
164,175,60,
165,248,48,
166,94,20,
167,84,43,
168,6,6,
169,9,9,
170,114,20,
171,9,9,
172,3,3,
173,21,21,
174,21,21,
175,121,36,
176,168,36,
177,12,12,
178,33,33,
179,33,33,
180,180,42,
181,157,41,
182,12,12,
183,458,117,
184,44,44,
185,45,45,
186,358,358,
187,45,45,
188,30,30,
189,33,33,
190,235,84,
191,21,21,
192,100,36,
193,21,21,
194,33,33,
195,45,45,
196,65,65,
197,45,45,
198,60,60,
199,48,48,
200,20,20,
201,90,27,
202,42,42,
203,84,46,
204,33,33,
205,33,33,
206,42,39,
207,41,41,
208,12,12,
209,609,609,
210,30,29,
211,33,33,
212,84,77,
213,21,21,
214,36,30,
215,21,21,
216,33,33,
217,27,27,
218,42,42,
219,46,46,
220,66,66,
221,92,58,
222,609,609,
223,29,29,
224,33,33,
225,149,41,
226,33,33,
227,66,66,
228,58,58,
229,745,745,
