x,y,z,id
0,0,0,69
0,0,0,77
0,0,0,83
131.335,-112.72,-0.1477,69
131.335,-112.72,-0.1477,50
131.335,-112.72,-0.1477,83
111.236,62.8,0.6759,83
111.236,62.8,0.6759,83
111.236,62.8,0.6759,83
247.638,22.78,-2.2144,93
247.638,22.78,-2.2144,40
247.638,22.78,-2.2144,83
-1219.19,1206.77,6.4224,93
-1219.19,1206.77,6.4224,93
-1219.19,1206.77,6.4224,93
-1386.32,1189.87,5.1671,88
-1386.32,1189.87,5.1671,96
-1386.32,1189.87,5.1671,93
-1254.98,1077.14,18.7414,69
-1254.98,1077.14,18.7414,40
-1254.98,1077.14,18.7414,93
-1270.01,1325.37,3.9325,69
-1270.01,1325.37,3.9325,40
-1270.01,1325.37,3.9325,93
1881.56,4813.74,2.5824,50
1881.56,4813.74,2.5824,50
1881.56,4813.74,2.5824,50
1870.15,4984,2.9338,69
1870.15,4984,2.9338,28
1870.15,4984,2.9338,50
1753.85,4848.49,4.2439,74
1753.85,4848.49,4.2439,69
1753.85,4848.49,4.2439,50
2002.92,4870.04,1.6074,69
2002.92,4870.04,1.6074,69
2002.92,4870.04,1.6074,50
3219.47,3664.85,-1.8249,28
3219.47,3664.85,-1.8249,28
3219.47,3664.85,-1.8249,28
3387.8,3681.41,-3.6782,16
3387.8,3681.41,-3.6782,50
3387.8,3681.41,-3.6782,28
3255.03,3795.36,-1.241,77
3255.03,3795.36,-1.241,69
3255.03,3795.36,-1.241,28
3271.5,3545.9,0.4486,77
3271.5,3545.9,0.4486,77
3271.5,3545.9,0.4486,28
-465.112,661.01,1.1463,80
-465.112,661.01,1.1463,80
-465.112,661.01,1.1463,80
-517.932,665.75,1.7793,80
-517.932,665.75,1.7793,80
-517.932,665.75,1.7793,80
-476.427,614.93,2.4999,80
-476.427,614.93,2.4999,80
-476.427,614.93,2.4999,80
-485.6,703.45,-0.3634,446
-485.6,703.45,-0.3634,446
-485.6,703.45,-0.3634,446
-1091.55,1136.94,13.7221,93
-1091.55,1136.94,13.7221,93
