id;size;rank;Rdiag
0;99;99;
1;399;399;
2;234;234;
3;856;856;
4;207;207;
5;859;859;
6;480;480;
7;147;147;
8;840;840;
9;51;51;
10;1485;1485;
11;87;87;
12;853;853;
13;66;66;
14;915;915;
15;15;15;
16;736;736;
17;543;543;
18;662;662;
19;54;54;
20;510;510;
21;102;102;
22;921;921;
23;111;111;
24;403;403;
25;75;75;
26;622;622;
27;189;189;
28;1182;1182;
29;111;111;
30;556;556;
31;24;24;
32;646;646;
33;60;60;
34;1172;1172;
35;42;42;
36;612;612;
37;141;141;
38;964;964;
39;111;111;
40;554;554;
41;165;165;
42;633;633;
43;198;198;
44;717;717;
45;210;210;
46;735;735;
47;515;515;
48;240;240;
49;702;702;
50;853;853;
51;621;621;
52;84;84;
53;731;731;
54;108;108;
55;762;762;
56;706;706;
57;81;81;
58;1229;1229;
59;126;126;
60;757;757;
61;174;174;
62;724;724;
63;126;126;
64;1118;1118;
65;621;621;
66;575;575;
67;796;796;
68;1073;1073;
69;1421;1421;
70;990;990;
71;210;210;
72;896;896;
73;135;135;
74;1309;1309;
75;882;882;
76;672;672;
77;786;786;
78;147;147;
79;649;649;
80;435;435;
81;576;576;
82;18;18;
83;624;624;
84;625;625;
85;252;252;
86;837;837;
87;27;27;
88;1016;1016;
89;390;390;
90;792;792;
91;27;27;
92;923;923;
93;613;613;
94;270;270;
95;948;948;
96;1029;1029;
97;679;679;
98;642;642;
99;832;832;
100;832;832;
101;27;27;
102;138;89;-2485.99 2215.29 2206.74 2105.73 -1933.37 1819.27 -1753.61 -1711.3 1613.74 1588.4 1531.28 1483.02 1431.53 1425.72 -1415.32 -1374.75 1319.88 -1122.19 -1122.17 1113.45 1070.47 1030.45 998.385 943.402 -940.824 -937.702 870.228 852.355 800.797 -787.916 731.509 715.845 -699.785 -679.446 -674.062 -668.797 -643.516 588.223 584.851 550.645 -521.993 513.038 510.315 -505.323 -492.067 -489.43 487.932 -448.282 379.36 374.438 323.615 -294.069 291.537 -281.313 267.683 263.466 251.687 243.407 230.865 -183.953 -178.542 -174.542 158.88 158.492 145.892 -145.285 -135.809 134.414 -115.584 110.008 109.779 105.453 84.8197 73.7431 66.2412 64.634 -60.7832 55.3329 51.2034 44.501 43.9374 41.7953 41.2048 40.5956 35.7946 -32.8105 -32.6565 26.9832 25.0425 24.145 18.9053 -16.1281 15.9339 -15.4606 -14.4387 10.8407 -10.7412 -10.4852 -9.11963 8.15575 -7.96779 7.42827 7.34044 -6.63854 5.78086 -5.44149 -4.22337 -4.06941 3.73989 3.10289 2.73891 -2.27093 -2.09814 1.73177 -1.55468 1.03546 0.908189 0.775784 -0.735915 0.635194 0.627093 0.594786 0.569777 0.558971 0.446362 0.412588 0.404282 0.402598 0.378616 0.369108 0.34179 -0.327159 0.289867 0.275445 -0.264974 0.19166 0.172303 -0.0770817 
103;84;39;-44780.9 -43411.4 37085.2 -34531.5 22666.9 22503.8 -21986.3 -21674.5 -18493.9 18318.1 -18247.2 -18243.4 1609.36 1452.19 -1323.68 -1104.7 -1044.75 -1040.66 -1000.76 -999.21 966.244 939.276 910.847 -882.713 -882.117 762.165 -708.456 704.704 -666.258 -659.808 -547.538 -539.694 -526.433 520.078 -517.19 514.721 497.391 482.433 448.22 438.047 -426.978 416.808 402.304 393.277 255.401 196.279 -165.508 53.0652 35.3848 -33.2738 29.9248 -27.8713 -25.5859 25.0652 -23.3618 22.1925 18.5928 16.7694 -16.3874 -14.8139 -12.4196 -11.4281 7.75641 5.12949 2.18203 1.40969 0.424117 0.268486 0.17465 -0.0692096 -0.0502842 0.031121 -0.0213774 -0.0147333 0.0134015 0.00924725 -0.00785127 0.0038829 -0.00240814 0.00148558 0.000623128 0.000504841 0.000267912 -0.000149133 
104;18;18;
