x,y,z,id
0,0,0,9
0,0,0,9
0,0,0,9
0.416667,0,0,9
0.416667,0,0,9
0.416667,0,0,9
0.833333,0,0,9
0.833333,0,0,9
0.833333,0,0,9
1.25,0,0,9
1.25,0,0,9
1.25,0,0,9
1.66667,0,0,9
1.66667,0,0,9
1.66667,0,0,9
2.08333,0,0,9
2.08333,0,0,9
2.08333,0,0,9
2.5,0,0,389
2.5,0,0,389
2.5,0,0,389
2.91667,0,0,14
2.91667,0,0,14
2.91667,0,0,14
3.33333,0,0,14
3.33333,0,0,14
3.33333,0,0,14
3.75,0,0,14
3.75,0,0,14
3.75,0,0,14
4.16667,0,0,14
4.16667,0,0,14
4.16667,0,0,14
4.58333,0,0,14
4.58333,0,0,14
4.58333,0,0,14
5,0,0,857
5,0,0,857
5,0,0,857
0,0.416667,0,9
0,0.416667,0,9
0,0.416667,0,9
0.416667,0.416667,0,9
0.416667,0.416667,0,9
0.416667,0.416667,0,9
0.833333,0.416667,0,9
0.833333,0.416667,0,9
0.833333,0.416667,0,9
1.25,0.416667,0,9
1.25,0.416667,0,9
1.25,0.416667,0,9
1.66667,0.416667,0,9
1.66667,0.416667,0,9
1.66667,0.416667,0,9
2.08333,0.416667,0,9
2.08333,0.416667,0,9
2.08333,0.416667,0,9
2.5,0.416667,0,389
2.5,0.416667,0,389
2.5,0.416667,0,389
2.91667,0.416667,0,14
2.91667,0.416667,0,14
2.91667,0.416667,0,14
3.33333,0.416667,0,14
3.33333,0.416667,0,14
3.33333,0.416667,0,14
3.75,0.416667,0,14
3.75,0.416667,0,14
3.75,0.416667,0,14
4.16667,0.416667,0,14
4.16667,0.416667,0,14
4.16667,0.416667,0,14
4.58333,0.416667,0,14
4.58333,0.416667,0,14
4.58333,0.416667,0,14
5,0.416667,0,857
5,0.416667,0,857
5,0.416667,0,857
0,0.833333,0,9
0,0.833333,0,9
0,0.833333,0,9
0.416667,0.833333,0,9
0.416667,0.833333,0,9
0.416667,0.833333,0,9
0.833333,0.833333,0,9
0.833333,0.833333,0,9
0.833333,0.833333,0,9
1.25,0.833333,0,9
1.25,0.833333,0,9
1.25,0.833333,0,9
1.66667,0.833333,0,9
1.66667,0.833333,0,9
1.66667,0.833333,0,9
2.08333,0.833333,0,9
2.08333,0.833333,0,9
2.08333,0.833333,0,9
2.5,0.833333,0,389
2.5,0.833333,0,389
2.5,0.833333,0,389
2.91667,0.833333,0,14
2.91667,0.833333,0,14
2.91667,0.833333,0,14
3.33333,0.833333,0,14
3.33333,0.833333,0,14
3.33333,0.833333,0,14
3.75,0.833333,0,14
3.75,0.833333,0,14
3.75,0.833333,0,14
4.16667,0.833333,0,14
4.16667,0.833333,0,14
4.16667,0.833333,0,14
4.58333,0.833333,0,14
4.58333,0.833333,0,14
4.58333,0.833333,0,14
5,0.833333,0,857
5,0.833333,0,857
5,0.833333,0,857
0,1.25,0,162
0,1.25,0,162
0,1.25,0,162
0.416667,1.25,0,162
0.416667,1.25,0,162
0.416667,1.25,0,162
0.833333,1.25,0,162
0.833333,1.25,0,162
0.833333,1.25,0,162
1.25,1.25,0,162
1.25,1.25,0,162
1.25,1.25,0,162
1.66667,1.25,0,162
1.66667,1.25,0,162
1.66667,1.25,0,162
2.08333,1.25,0,162
2.08333,1.25,0,162
2.08333,1.25,0,162
2.5,1.25,0,392
2.5,1.25,0,392
2.5,1.25,0,392
2.91667,1.25,0,14
2.91667,1.25,0,14
2.91667,1.25,0,14
3.33333,1.25,0,14
3.33333,1.25,0,14
3.33333,1.25,0,14
3.75,1.25,0,14
3.75,1.25,0,14
3.75,1.25,0,14
4.16667,1.25,0,14
4.16667,1.25,0,14
4.16667,1.25,0,14
4.58333,1.25,0,14
4.58333,1.25,0,14
4.58333,1.25,0,14
5,1.25,0,858
5,1.25,0,858
5,1.25,0,858
0,1.66667,0,8
0,1.66667,0,8
0,1.66667,0,8
0.416667,1.66667,0,8
0.416667,1.66667,0,8
0.416667,1.66667,0,8
0.833333,1.66667,0,8
0.833333,1.66667,0,8
0.833333,1.66667,0,8
1.25,1.66667,0,8
1.25,1.66667,0,8
1.25,1.66667,0,8
1.66667,1.66667,0,8
1.66667,1.66667,0,8
1.66667,1.66667,0,8
2.08333,1.66667,0,8
2.08333,1.66667,0,8
2.08333,1.66667,0,8
2.5,1.66667,0,386
2.5,1.66667,0,386
2.5,1.66667,0,386
2.91667,1.66667,0,14
2.91667,1.66667,0,14
2.91667,1.66667,0,14
3.33333,1.66667,0,14
3.33333,1.66667,0,14
3.33333,1.66667,0,14
3.75,1.66667,0,14
3.75,1.66667,0,14
3.75,1.66667,0,14
4.16667,1.66667,0,14
4.16667,1.66667,0,14
4.16667,1.66667,0,14
