x,y,z,id
0,0,0,327
0,0,0,375
0,0,0,400
131.335,-112.72,-0.1477,325
131.335,-112.72,-0.1477,223
131.335,-112.72,-0.1477,400
111.236,62.8,0.6759,400
111.236,62.8,0.6759,400
111.236,62.8,0.6759,400
247.638,22.78,-2.2144,462
247.638,22.78,-2.2144,171
247.638,22.78,-2.2144,400
-1219.19,1206.77,6.4224,463
-1219.19,1206.77,6.4224,463
-1219.19,1206.77,6.4224,463
-1386.32,1189.87,5.1671,430
-1386.32,1189.87,5.1671,479
-1386.32,1189.87,5.1671,463
-1254.98,1077.14,18.7414,327
-1254.98,1077.14,18.7414,171
-1254.98,1077.14,18.7414,463
-1270.01,1325.37,3.9325,326
-1270.01,1325.37,3.9325,171
-1270.01,1325.37,3.9325,463
1881.56,4813.74,2.5824,223
1881.56,4813.74,2.5824,223
1881.56,4813.74,2.5824,223
1870.15,4984,2.9338,326
1870.15,4984,2.9338,126
1870.15,4984,2.9338,223
1753.85,4848.49,4.2439,348
1753.85,4848.49,4.2439,327
1753.85,4848.49,4.2439,223
2002.92,4870.04,1.6074,327
2002.92,4870.04,1.6074,327
2002.92,4870.04,1.6074,223
3219.47,3664.85,-1.8249,121
3219.47,3664.85,-1.8249,121
3219.47,3664.85,-1.8249,121
3387.8,3681.41,-3.6782,66
3387.8,3681.41,-3.6782,217
3387.8,3681.41,-3.6782,121
3255.03,3795.36,-1.241,369
3255.03,3795.36,-1.241,327
3255.03,3795.36,-1.241,121
3271.5,3545.9,0.4486,375
3271.5,3545.9,0.4486,375
3271.5,3545.9,0.4486,121
-465.112,661.01,1.1463,697
-465.112,661.01,1.1463,697
-465.112,661.01,1.1463,697
-517.932,665.75,1.7793,388
-517.932,665.75,1.7793,388
-517.932,665.75,1.7793,388
-476.427,614.93,2.4999,388
-476.427,614.93,2.4999,388
-476.427,614.93,2.4999,388
-485.6,703.45,-0.3634,3585
-485.6,703.45,-0.3634,3585
-485.6,703.45,-0.3634,3585
-1091.55,1136.94,13.7221,463
-1091.55,1136.94,13.7221,463
-1091.55,1136.94,13.7221,463
-1123.65,964.42,16.5179,496
-1123.65,964.42,16.5179,504
-1123.65,964.42,16.5179,463
3088.15,3731.93,-0.182,121
3088.15,3731.93,-0.182,121
3088.15,3731.93,-0.182,121
3122.26,3909.32,-2.8716,325
3122.26,3909.32,-2.8716,324
3122.26,3909.32,-2.8716,2503
1972.29,4694.3,0.2669,223
1972.29,4694.3,0.2669,223
1972.29,4694.3,0.2669,223
2135.7,4756.08,1.7121,112
2135.7,4756.08,1.7121,369
2135.7,4756.08,1.7121,223
-1096.58,1302.8,18.9158,463
-1096.58,1302.8,18.9158,463
-1096.58,1302.8,18.9158,463
-1153.71,1460.88,8.6646,375
-1153.71,1460.88,8.6646,325
-1153.71,1460.88,8.6646,463
1805.39,4676.47,0.3695,223
1805.39,4676.47,0.3695,223
1805.39,4676.47,0.3695,223
1637.55,4712.99,1.5601,470
1637.55,4712.99,1.5601,102
1637.55,4712.99,1.5601,2641
3100.77,3563.97,-1.8985,121
3100.77,3563.97,-1.8985,121
3100.77,3563.97,-1.8985,121
3155.2,3410.4,-1.2337,171
3155.2,3410.4,-1.2337,227
3155.2,3410.4,-1.2337,121
-423.317,619.72,1.4608,697
-423.317,619.72,1.4608,697
-423.317,619.72,1.4608,697
-426.22,571.92,1.7583,388
-426.22,571.92,1.7583,388
-426.22,571.92,1.7583,388
-979.89,1043.94,10.0794,463
-979.89,1043.94,10.0794,463
-979.89,1043.94,10.0794,463
-1005.08,862.65,6.4083,331
-1005.08,862.65,6.4083,132
-1005.08,862.65,6.4083,463
-435.299,700.91,-0.2327,389
-435.299,700.91,-0.2327,389
-435.299,700.91,-0.2327,389
-453.269,741.14,-1.5211,3600
-453.269,741.14,-1.5211,3600
-453.269,741.14,-1.5211,3600
-418.356,662.24,0.9399,389
-418.356,662.24,0.9399,389
-418.356,662.24,0.9399,389
2950.59,3800.69,-2.5574,2503
2950.59,3800.69,-2.5574,2503
2950.59,3800.69,-2.5574,2503
3017.15,3999.54,-2.8114,504
3017.15,3999.54,-2.8114,171
3017.15,3999.54,-2.8114,102
2892.67,3934.22,-3.0535,102
2892.67,3934.22,-3.0535,102
2892.67,3934.22,-3.0535,102
2928.64,4075.51,-3.9178,331
2928.64,4075.51,-3.9178,325
2928.64,4075.51,-3.9178,102
2846.11,4033.39,-5.2654,102
2846.11,4033.39,-5.2654,102
2846.11,4033.39,-5.2654,102
2856.72,4137.23,-3.0469,368
2856.72,4137.23,-3.0469,375
2856.72,4137.23,-3.0469,102
2780.92,4088.58,-5.3867,857
2780.92,4088.58,-5.3867,857
2780.92,4088.58,-5.3867,857
2784.8,4198.96,-0.7284,369
2784.8,4198.96,-0.7284,506
2784.8,4198.96,-0.7284,857
-362.457,580.09,0.2177,697
-362.457,580.09,0.2177,697
-362.457,580.09,0.2177,697
-358.893,523.84,-0.1173,697
-358.893,523.84,-0.1173,697
-358.893,523.84,-0.1173,697
-371.691,636.28,0.991,389
-371.691,636.28,0.991,389
-371.691,636.28,0.991,389
-885.652,940.98,5.0675,463
-885.652,940.98,5.0675,463
-885.652,940.98,5.0675,463
-919.347,789.07,2.182,375
-919.347,789.07,2.182,291
-919.347,789.07,2.182,463
-816.46,844.41,3.0059,2361
-816.46,844.41,3.0059,2361
-816.46,844.41,3.0059,2361
-833.614,715.49,1.6953,380
-833.614,715.49,1.6953,375
-833.614,715.49,1.6953,2362
-749.54,759.25,0.65,453
-749.54,759.25,0.65,453
-749.54,759.25,0.65,453
-764.298,655.99,-1.1921,369
-764.298,655.99,-1.1921,390
-764.298,655.99,-1.1921,453
-687.75,690.08,1.3489,453
-687.75,690.08,1.3489,453
-687.75,690.08,1.3489,453
-694.982,596.5,1.9615,375
-694.982,596.5,1.9615,374
-694.982,596.5,1.9615,453
1703.25,4542.39,1.7569,2641
1703.25,4542.39,1.7569,2641
1703.25,4542.39,1.7569,2641
1521.24,4577.48,1.7704,369
1521.24,4577.48,1.7704,222
1521.24,4577.48,1.7704,206
2086.02,4595.81,2.2658,223
2086.02,4595.81,2.2658,223
2086.02,4595.81,2.2658,223
2268.47,4642.13,-1.3802,371
2268.47,4642.13,-1.3802,28
2268.47,4642.13,-1.3802,223
2718.68,4157.39,0.2597,100
2718.68,4157.39,0.2597,100
2718.68,4157.39,0.2597,100
2729.48,4246.44,-1.1018,369
2729.48,4246.44,-1.1018,300
2729.48,4246.44,-1.1018,100
2657.35,4221.22,1.8859,100
2657.35,4221.22,1.8859,100
2657.35,4221.22,1.8859,100
2674.16,4293.93,0.0078,174
2674.16,4293.93,0.0078,163
2674.16,4293.93,0.0078,3726
2586.24,4280.24,-0.0009,3726
2586.24,4280.24,-0.0009,3726
2586.24,4280.24,-0.0009,3726
2602.24,4355.65,-1.7852,369
2602.24,4355.65,-1.7852,301
2602.24,4355.65,-1.7852,221
-627.981,619.91,3.5395,3583
-627.981,619.91,3.5395,3583
-627.981,619.91,3.5395,3583
-625.666,537.01,5.1051,374
-625.666,537.01,5.1051,301
-625.666,537.01,5.1051,3586
-980.547,1422.86,14.8861,1279
-980.547,1422.86,14.8861,1279
-980.547,1422.86,14.8861,1279
-1037.41,1596.38,5.4608,327
-1037.41,1596.38,5.4608,325
-1037.41,1596.38,5.4608,1279
1581.42,4409.24,4.2973,206
1581.42,4409.24,4.2973,206
1581.42,4409.24,4.2973,206
1404.94,4441.98,2.4694,302
1404.94,4441.98,2.4694,301
1404.94,4441.98,2.4694,206
2209.53,4516.26,-1.4971,1021
2209.53,4516.26,-1.4971,1021
2209.53,4516.26,-1.4971,1021
2371.73,4553.49,-0.4979,163
2371.73,4553.49,-0.4979,393
2371.73,4553.49,-0.4979,1021
2320.88,4451.1,-0.5026,221
2320.88,4451.1,-0.5026,221
2320.88,4451.1,-0.5026,221
2458.4,4479.1,-0.0485,218
2458.4,4479.1,-0.0485,366
2458.4,4479.1,-0.0485,221
2418.83,4392.29,-2.1389,221
2418.83,4392.29,-2.1389,221
2418.83,4392.29,-2.1389,221
2530.32,4417.38,-3.9147,300
2530.32,4417.38,-3.9147,385
2530.32,4417.38,-3.9147,221
2981.47,3441.6,-1.6555,121
2981.47,3441.6,-1.6555,121
2981.47,3441.6,-1.6555,121
3038.9,3274.89,-3.9317,415
3038.9,3274.89,-3.9317,506
3038.9,3274.89,-3.9317,121
-867.939,1561.39,12.9446,460
-867.939,1561.39,12.9446,460
-867.939,1561.39,12.9446,460
-921.106,1731.89,9.7995,160
-921.106,1731.89,9.7995,479
-921.106,1731.89,9.7995,460
1461.41,4274.22,5.3411,206
1461.41,4274.22,5.3411,206
1461.41,4274.22,5.3411,206
1288.64,4306.47,0.8245,508
1288.64,4306.47,0.8245,508
1288.64,4306.47,0.8245,206
1342.89,4138.99,3.4579,997
1342.89,4138.99,3.4579,997
1342.89,4138.99,3.4579,997
1172.34,4170.97,-3.4507,296
1172.34,4170.97,-3.4507,325
1172.34,4170.97,-3.4507,997
1225,4003.28,-5.6393,204
1225,4003.28,-5.6393,204
1225,4003.28,-5.6393,204
1056.04,4035.46,-1.5487,160
1056.04,4035.46,-1.5487,133
1056.04,4035.46,-1.5487,204
1108.52,3866.41,11.5791,204
1108.52,3866.41,11.5791,204
1108.52,3866.41,11.5791,204
939.733,3899.96,2.2188,507
939.733,3899.96,2.2188,109
939.733,3899.96,2.2188,204
993.561,3730.15,0.7165,3499
993.561,3730.15,0.7165,3499
993.561,3730.15,0.7165,3499
823.43,3764.45,-2.2813,132
823.43,3764.45,-2.2813,132
823.43,3764.45,-2.2813,3502
878.048,3595.17,-2.3147,593
878.048,3595.17,-2.3147,593
878.048,3595.17,-2.3147,593
707.128,3628.95,3.2287,507
707.128,3628.95,3.2287,488
707.128,3628.95,3.2287,162
761.306,3460.4,0.8215,162
761.306,3460.4,0.8215,162
761.306,3460.4,0.8215,162
590.826,3493.45,3.8444,505
590.826,3493.45,3.8444,505
