id;lvl;mergeLvl;name
0;0;0;not_fault_0
1;0;0;not_fault_1
2;0;0;not_fault_2
3;0;0;not_fault_3
4;0;0;not_fault_4
5;0;0;not_fault_5
6;0;0;not_fault_6
7;0;0;not_fault_7
8;0;0;not_fault_8
9;0;0;not_fault_9
10;0;0;not_fault_10
11;0;0;not_fault_11
12;0;0;not_fault_12
13;0;0;not_fault_13
14;0;0;not_fault_14
15;0;0;not_fault_15
16;0;0;not_fault_16
17;0;0;not_fault_17
18;0;0;not_fault_18
19;0;0;not_fault_19
20;0;0;not_fault_20
21;0;0;not_fault_21
22;0;0;not_fault_22
23;0;0;not_fault_23
24;0;0;not_fault_24
25;0;0;not_fault_25
26;0;0;not_fault_26
27;0;0;not_fault_27
28;0;0;not_fault_28
29;0;0;not_fault_29
30;1;0;not_fault_30
31;1;0;not_fault_31
32;1;0;not_fault_32
33;1;0;not_fault_33
34;1;0;not_fault_34
35;1;0;not_fault_35
36;1;0;not_fault_36
37;1;0;not_fault_37
38;1;0;not_fault_38
39;1;0;not_fault_39
40;1;0;not_fault_40
41;1;0;not_fault_41
42;1;0;not_fault_42
43;1;0;not_fault_43
44;2;0;not_fault_44
45;2;0;not_fault_45
46;2;0;not_fault_46
47;2;0;not_fault_47
48;2;0;not_fault_48
49;2;0;not_fault_49
50;2;0;not_fault_50
51;2;0;not_fault_51
52;2;0;not_fault_52
53;2;0;not_fault_53
54;2;0;not_fault_54
55;2;0;not_fault_55
56;2;0;not_fault_56
57;2;0;not_fault_57
58;2;0;not_fault_58
59;2;0;not_fault_59
60;2;0;not_fault_60
61;2;0;not_fault_61
62;2;0;not_fault_62
63;2;0;not_fault_63
64;2;0;not_fault_64
65;2;0;not_fault_65
66;2;0;not_fault_66
67;2;0;not_fault_67
68;2;0;not_fault_68
69;2;0;not_fault_69
70;2;0;not_fault_70
71;2;0;not_fault_71
72;2;0;not_fault_72
73;2;0;not_fault_73
74;2;0;not_fault_74
75;2;0;not_fault_75
76;2;0;not_fault_76
77;2;0;not_fault_77
78;3;0;not_fault_78
79;3;0;not_fault_79
80;3;0;not_fault_80
81;3;0;not_fault_81
82;3;0;not_fault_82
83;3;0;not_fault_83
84;3;0;not_fault_84
85;3;0;not_fault_85
86;3;0;not_fault_86
87;3;0;not_fault_87
88;3;0;not_fault_88
89;3;0;not_fault_89
90;3;0;not_fault_90
91;3;0;not_fault_91
92;3;0;not_fault_92
93;3;0;not_fault_93
94;3;0;not_fault_94
95;3;0;not_fault_95
96;3;0;not_fault_96
97;3;0;not_fault_97
98;3;0;not_fault_98
99;4;0;not_fault_99
100;4;0;not_fault_100
101;4;0;not_fault_101
102;4;0;not_fault_102
103;4;0;not_fault_103
104;4;0;not_fault_104
105;4;0;not_fault_105
106;4;0;not_fault_106
107;4;0;not_fault_107
108;4;0;not_fault_108
109;4;0;not_fault_109
110;4;0;not_fault_110
111;4;0;not_fault_111
112;4;0;not_fault_112
113;4;0;not_fault_113
114;4;0;fault_114
115;4;0;fault_115
116;4;0;fault_116
117;4;0;fault_117
118;4;0;fault_118
119;4;0;fault_119
120;4;0;fault_120
121;4;0;fault_121
122;4;0;fault_122
123;4;0;fault_123
124;4;0;fault_124
125;4;0;fault_125
126;4;0;fault_126
127;4;0;fault_127
128;4;0;fault_128
129;4;0;fault_129
130;4;0;fault_130
131;4;0;fault_131
132;4;0;fault_132
133;4;0;fault_133
134;4;0;fault_134
135;4;0;fault_135
136;4;0;fault_136
137;4;0;fault_137
138;4;0;fault_138
139;4;0;fault_139
140;4;0;fault_140
141;4;0;fault_141
142;4;0;fault_142
143;4;0;fault_143
144;4;0;fault_144
145;4;0;fault_145
146;4;0;fault_146
147;1;1;not_fault_147
148;1;1;not_fault_148
149;1;1;not_fault_149
150;1;1;not_fault_150
151;1;1;not_fault_151
152;1;1;not_fault_152
153;1;1;not_fault_153
154;1;1;not_fault_154
155;1;1;not_fault_155
156;1;1;not_fault_156
157;1;1;not_fault_157
158;1;1;not_fault_158
159;1;1;not_fault_159
160;1;1;not_fault_160
161;2;1;not_fault_161
162;2;1;not_fault_162
163;2;1;not_fault_163
164;2;1;not_fault_164
165;2;1;not_fault_165
166;2;1;not_fault_166
167;3;1;not_fault_167
168;3;1;not_fault_168
169;3;1;not_fault_169
170;3;1;not_fault_170
171;3;1;not_fault_171
172;3;1;not_fault_172
173;3;1;not_fault_173
174;3;1;not_fault_174
175;3;1;not_fault_175
176;3;1;not_fault_176
177;3;1;not_fault_177
178;4;1;not_fault_178
179;4;1;not_fault_179
180;4;1;not_fault_180
181;4;1;not_fault_181
182;4;1;not_fault_182
183;4;1;fault_183
184;4;1;fault_184
185;4;1;fault_185
186;4;1;fault_186
187;4;1;fault_187
188;4;1;fault_188
189;4;1;fault_189
190;4;1;fault_190
191;4;1;fault_191
192;4;1;fault_192
193;4;1;fault_193
194;4;1;fault_194
195;2;2;not_fault_195
196;2;2;not_fault_196
197;2;2;not_fault_197
198;2;2;not_fault_198
199;2;2;not_fault_199
200;2;2;not_fault_200
201;3;2;not_fault_201
202;3;2;not_fault_202
203;3;2;not_fault_203
204;4;2;not_fault_204
205;4;2;not_fault_205
206;4;2;not_fault_206
207;4;2;not_fault_207
208;4;2;not_fault_208
209;4;2;fault_209
210;4;2;fault_210
211;4;2;fault_211
212;4;2;fault_212
213;4;2;fault_213
214;4;2;fault_214
215;4;2;fault_215
216;4;2;fault_216
217;3;3;not_fault_217
218;3;3;not_fault_218
219;3;3;not_fault_219
220;4;3;not_fault_220
221;4;3;not_fault_221
222;4;3;fault_222
223;4;3;fault_223
224;4;3;fault_224
225;4;3;fault_225
226;4;3;fault_226
227;4;4;not_fault_227
228;4;4;not_fault_228
229;4;4;fault_229
