child;parent
30;147
31;148
32;149
33;150
34;151
35;152
36;153
37;154
38;155
39;156
40;157
41;158
42;159
43;160
44;161
45;161
46;161
47;162
48;162
49;162
50;162
51;162
52;162
53;163
54;163
55;163
56;163
57;163
58;164
59;164
60;164
61;164
62;164
63;164
64;164
65;164
66;165
67;165
68;165
69;165
70;165
71;165
72;165
73;165
74;165
75;166
76;166
77;166
78;167
79;167
80;167
81;168
82;169
83;170
84;170
85;170
86;170
87;170
88;171
89;172
90;173
91;174
92;175
93;175
94;175
95;176
96;176
97;176
98;177
99;178
100;178
101;179
102;180
103;180
104;180
105;180
106;180
107;180
108;180
109;180
110;181
111;181
112;181
113;182
114;183
115;183
116;183
117;183
118;183
119;184
120;184
121;184
122;185
123;185
124;185
125;185
126;185
127;186
128;186
129;186
130;186
131;186
132;187
133;187
134;187
135;188
136;189
137;189
138;190
139;190
140;190
141;191
142;192
143;192
144;192
145;193
146;194
161;195
162;196
163;197
164;198
165;199
166;200
167;201
168;201
169;201
170;201
171;201
172;201
173;202
174;202
175;203
176;203
177;203
178;204
179;205
180;206
181;207
182;208
183;209
184;209
185;209
186;209
187;209
188;210
189;211
190;212
191;213
192;214
193;215
194;216
201;217
202;218
203;219
204;220
205;220
206;221
207;221
208;221
209;222
210;223
211;224
212;225
213;225
214;225
215;225
216;226
220;227
221;228
222;229
223;229
224;229
225;229
226;229
