id;size;rank;Rdiag
0;3584;3584;
1;5085;5085;
2;2956;2956;
3;4221;4221;
4;3759;3759;
5;3984;3984;
6;3757;3757;
7;3546;3546;
8;5117;5117;
9;3532;3532;
10;5660;5660;
11;3449;3449;
12;2581;2581;
13;3833;3833;
14;4301;4301;
15;2986;2986;
16;395;299;
17;340;229;
18;311;254;
19;355;224;
20;369;195;
21;516;98;
22;379;35;
23;192;75;
24;278;58;
25;226;83;
26;72;71;
27;24;24;
28;27;27;
29;1;1;
30;289;91;
31;9;9;
32;262;68;
33;18;18;
34;15;15;
35;9;9;
36;15;15;
37;4;4;
38;51;51;
39;21;21;
40;3;3;
41;84;84;
42;36;36;
43;6;6;
44;42;42;
45;18;18;
46;3;3;
47;129;32;
48;198;69;
49;12;12;
50;228;75;
51;9;9;
52;9;9;
53;6;6;
54;9;9;
55;258;69;
56;4;4;
57;107;24;
58;4;4;
59;6;6;
60;9;9;
61;3;3;
62;284;69;
63;171;67;
64;25;25;
65;316;113;
66;97;57;
67;43;43;
68;12;12;
69;305;114;
70;7;7;
71;3;3;
72;281;104;
73;15;15;
74;18;18;
75;7;7;
76;6;6;
77;287;92;
78;283;78;
79;25;25;
80;12;12;
81;537;330;
82;288;211;
83;51;51;
84;51;51;
85;57;57;
86;30;30;
87;12;12;
88;3;3;
89;30;30;
90;6;6;
91;3;3;
92;3;3;
93;3;3;
94;72;72;
95;450;252;
96;63;63;
97;45;45;
98;45;45;
99;30;30;
100;12;12;
101;3;3;
102;30;30;
103;30;30;
104;3;3;
105;372;146;
106;126;93;
107;21;21;
108;21;21;
109;18;18;
110;279;101;
111;9;9;
112;21;21;
113;33;33;
114;299;299;
115;229;229;
116;254;254;
117;224;224;
118;195;195;
119;98;98;
120;35;35;
121;75;75;
122;264;37;
123;229;46;
124;264;47;
125;113;22;
126;93;50;
127;6;6;
128;9;9;
129;107;30;
130;9;9;
131;3;3;
132;161;31;
133;213;24;
134;12;12;
135;274;44;
136;195;44;
137;12;12;
138;700;700;
139;45;44;
140;45;45;
141;477;477;
142;45;45;
143;30;30;
144;33;33;
145;260;78;
146;21;21;
147;128;128;
148;21;21;
149;33;33;
150;37;37;
151;46;46;
152;47;47;
153;22;22;
154;107;27;
155;67;62;
156;44;33;
157;44;32;
158;12;12;
159;1311;1311;
160;30;30;
161;33;33;
162;78;46;
163;21;21;
164;128;128;
165;21;21;
166;33;33;
167;27;27;
168;62;62;
169;77;77;
170;1311;1311;
171;30;30;
172;33;33;
173;216;216;
174;33;33;
175;77;77;
176;1623;1623;
