id,x,y,z
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,131.335,-112.72,-0.1477
4,131.335,-112.72,-0.1477
5,131.335,-112.72,-0.1477
6,111.236,62.8,0.6759
7,111.236,62.8,0.6759
8,111.236,62.8,0.6759
9,247.638,22.78,-2.2144
10,247.638,22.78,-2.2144
11,247.638,22.78,-2.2144
12,-1219.19,1206.77,6.4224
13,-1219.19,1206.77,6.4224
14,-1219.19,1206.77,6.4224
15,-1386.316,1189.87,5.1671
16,-1386.316,1189.87,5.1671
17,-1386.316,1189.87,5.1671
18,-1254.981,1077.14,18.7414
19,-1254.981,1077.14,18.7414
20,-1254.981,1077.14,18.7414
21,-1270.014,1325.37,3.9325
22,-1270.014,1325.37,3.9325
23,-1270.014,1325.37,3.9325
24,1881.562,4813.74,2.5824
25,1881.562,4813.74,2.5824
26,1881.562,4813.74,2.5824
27,1870.153,4984.0,2.9338
28,1870.153,4984.0,2.9338
29,1870.153,4984.0,2.9338
30,1753.85,4848.49,4.2439
31,1753.85,4848.49,4.2439
32,1753.85,4848.49,4.2439
33,2002.924,4870.04,1.6074
34,2002.924,4870.04,1.6074
35,2002.924,4870.04,1.6074
36,3219.468,3664.85,-1.8249
37,3219.468,3664.85,-1.8249
38,3219.468,3664.85,-1.8249
39,3387.804,3681.41,-3.6782
40,3387.804,3681.41,-3.6782
41,3387.804,3681.41,-3.6782
42,3255.033,3795.36,-1.241
43,3255.033,3795.36,-1.241
44,3255.033,3795.36,-1.241
45,3271.501,3545.9,0.4486
46,3271.501,3545.9,0.4486
47,3271.501,3545.9,0.4486
48,-465.112,661.01,1.1463
49,-465.112,661.01,1.1463
50,-465.112,661.01,1.1463
51,-517.932,665.75,1.7793
52,-517.932,665.75,1.7793
53,-517.932,665.75,1.7793
54,-476.427,614.93,2.4999
55,-476.427,614.93,2.4999
56,-476.427,614.93,2.4999
57,-485.6,703.45,-0.3634
58,-485.6,703.45,-0.3634
59,-485.6,703.45,-0.3634
60,-1091.554,1136.94,13.7221
61,-1091.554,1136.94,13.7221
62,-1091.554,1136.94,13.7221
63,-1123.646,964.42,16.5179
64,-1123.646,964.42,16.5179
65,-1123.646,964.42,16.5179
66,3088.154,3731.93,-0.182
67,3088.154,3731.93,-0.182
68,3088.154,3731.93,-0.182
69,3122.261,3909.32,-2.8716
70,3122.261,3909.32,-2.8716
71,3122.261,3909.32,-2.8716
72,1972.288,4694.3,0.2669
73,1972.288,4694.3,0.2669
74,1972.288,4694.3,0.2669
75,2135.695,4756.08,1.7121
76,2135.695,4756.08,1.7121
77,2135.695,4756.08,1.7121
78,-1096.581,1302.8,18.9158
79,-1096.581,1302.8,18.9158
80,-1096.581,1302.8,18.9158
81,-1153.711,1460.88,8.6646
82,-1153.711,1460.88,8.6646
83,-1153.711,1460.88,8.6646
84,1805.392,4676.47,0.3695
85,1805.392,4676.47,0.3695
86,1805.392,4676.47,0.3695
87,1637.548,4712.99,1.5601
88,1637.548,4712.99,1.5601
89,1637.548,4712.99,1.5601
90,3100.773,3563.97,-1.8985
91,3100.773,3563.97,-1.8985
92,3100.773,3563.97,-1.8985
93,3155.199,3410.4,-1.2337
94,3155.199,3410.4,-1.2337
95,3155.199,3410.4,-1.2337
96,-423.317,619.72,1.4608
97,-423.317,619.72,1.4608
98,-423.317,619.72,1.4608
99,-426.22,571.92,1.7583
100,-426.22,571.92,1.7583
101,-426.22,571.92,1.7583
102,-979.89,1043.94,10.0794
103,-979.89,1043.94,10.0794
104,-979.89,1043.94,10.0794
105,-1005.079,862.65,6.4083
106,-1005.079,862.65,6.4083
107,-1005.079,862.65,6.4083
108,-435.299,700.91,-0.2327
109,-435.299,700.91,-0.2327
110,-435.299,700.91,-0.2327
111,-453.269,741.14,-1.5211
112,-453.269,741.14,-1.5211
113,-453.269,741.14,-1.5211
114,-418.356,662.24,0.9399
115,-418.356,662.24,0.9399
116,-418.356,662.24,0.9399
117,2950.594,3800.69,-2.5574
118,2950.594,3800.69,-2.5574
119,2950.594,3800.69,-2.5574
120,3017.15,3999.54,-2.8114
121,3017.15,3999.54,-2.8114
122,3017.15,3999.54,-2.8114
123,2892.674,3934.22,-3.0535
124,2892.674,3934.22,-3.0535
125,2892.674,3934.22,-3.0535
126,2928.636,4075.51,-3.9178
127,2928.636,4075.51,-3.9178
128,2928.636,4075.51,-3.9178
129,2846.109,4033.39,-5.2654
130,2846.109,4033.39,-5.2654
131,2846.109,4033.39,-5.2654
132,2856.718,4137.23,-3.0469
133,2856.718,4137.23,-3.0469
134,2856.718,4137.23,-3.0469
135,2780.919,4088.58,-5.3867
136,2780.919,4088.58,-5.3867
137,2780.919,4088.58,-5.3867
138,2784.8,4198.96,-0.7284
139,2784.8,4198.96,-0.7284
140,2784.8,4198.96,-0.7284
141,-362.457,580.09,0.2177
142,-362.457,580.09,0.2177
143,-362.457,580.09,0.2177
144,-358.893,523.84,-0.1173
145,-358.893,523.84,-0.1173
146,-358.893,523.84,-0.1173
147,-371.691,636.28,0.991
148,-371.691,636.28,0.991
149,-371.691,636.28,0.991
150,-885.652,940.98,5.0675
151,-885.652,940.98,5.0675
152,-885.652,940.98,5.0675
153,-919.347,789.07,2.182
154,-919.347,789.07,2.182
155,-919.347,789.07,2.182
156,-816.46,844.41,3.0059
157,-816.46,844.41,3.0059
158,-816.46,844.41,3.0059
159,-833.614,715.49,1.6953
160,-833.614,715.49,1.6953
161,-833.614,715.49,1.6953
162,-749.54,759.25,0.65
163,-749.54,759.25,0.65
164,-749.54,759.25,0.65
165,-764.298,655.99,-1.1921
166,-764.298,655.99,-1.1921
167,-764.298,655.99,-1.1921
168,-687.75,690.08,1.3489
169,-687.75,690.08,1.3489
170,-687.75,690.08,1.3489
171,-694.982,596.5,1.9615
