7059;3;3
X;id
 0 0 0;6
 0 0 0;6
 0 0 0;6
 0.833333 0 0;6
 0.833333 0 0;6
 0.833333 0 0;6
 1.66667 0 0;6
 1.66667 0 0;6
 1.66667 0 0;6
 2.5 0 0;6
 2.5 0 0;6
 2.5 0 0;6
 3.33333 0 0;6
 3.33333 0 0;6
 3.33333 0 0;6
 4.16667 0 0;6
 4.16667 0 0;6
 4.16667 0 0;6
 5 0 0;11
 5 0 0;11
 5 0 0;11
 0 0.833333 0;6
 0 0.833333 0;6
 0 0.833333 0;6
 0.833333 0.833333 0;6
 0.833333 0.833333 0;6
 0.833333 0.833333 0;6
 1.66667 0.833333 0;6
 1.66667 0.833333 0;6
 1.66667 0.833333 0;6
 2.5 0.833333 0;6
 2.5 0.833333 0;6
 2.5 0.833333 0;6
 3.33333 0.833333 0;6
 3.33333 0.833333 0;6
 3.33333 0.833333 0;6
 4.16667 0.833333 0;6
 4.16667 0.833333 0;6
 4.16667 0.833333 0;6
 5 0.833333 0;11
 5 0.833333 0;11
 5 0.833333 0;11
 0 1.66667 0;6
 0 1.66667 0;6
 0 1.66667 0;6
 0.833333 1.66667 0;6
 0.833333 1.66667 0;6
 0.833333 1.66667 0;6
 1.66667 1.66667 0;6
 1.66667 1.66667 0;6
 1.66667 1.66667 0;6
 2.5 1.66667 0;6
 2.5 1.66667 0;6
 2.5 1.66667 0;6
 3.33333 1.66667 0;6
 3.33333 1.66667 0;6
 3.33333 1.66667 0;6
 4.16667 1.66667 0;6
 4.16667 1.66667 0;6
 4.16667 1.66667 0;6
 5 1.66667 0;11
 5 1.66667 0;11
 5 1.66667 0;11
 0 2.5 0;6
 0 2.5 0;6
 0 2.5 0;6
 0.833333 2.5 0;6
 0.833333 2.5 0;6
 0.833333 2.5 0;6
 1.66667 2.5 0;6
 1.66667 2.5 0;6
 1.66667 2.5 0;6
 2.5 2.5 0;6
 2.5 2.5 0;6
 2.5 2.5 0;6
 3.33333 2.5 0;6
 3.33333 2.5 0;6
 3.33333 2.5 0;6
 4.16667 2.5 0;6
 4.16667 2.5 0;6
 4.16667 2.5 0;6
 5 2.5 0;11
 5 2.5 0;11
 5 2.5 0;11
 0 3.33333 0;6
 0 3.33333 0;6
 0 3.33333 0;6
 0.833333 3.33333 0;6
 0.833333 3.33333 0;6
 0.833333 3.33333 0;6
 1.66667 3.33333 0;6
 1.66667 3.33333 0;6
 1.66667 3.33333 0;6
 2.5 3.33333 0;6
 2.5 3.33333 0;6
 2.5 3.33333 0;6
 3.33333 3.33333 0;6
 3.33333 3.33333 0;6
 3.33333 3.33333 0;6
 4.16667 3.33333 0;6
 4.16667 3.33333 0;6
 4.16667 3.33333 0;6
 5 3.33333 0;11
 5 3.33333 0;11
 5 3.33333 0;11
 0 4.16667 0;6
 0 4.16667 0;6
 0 4.16667 0;6
 0.833333 4.16667 0;6
 0.833333 4.16667 0;6
 0.833333 4.16667 0;6
 1.66667 4.16667 0;6
 1.66667 4.16667 0;6
 1.66667 4.16667 0;6
 2.5 4.16667 0;6
 2.5 4.16667 0;6
 2.5 4.16667 0;6
 3.33333 4.16667 0;6
 3.33333 4.16667 0;6
 3.33333 4.16667 0;6
 4.16667 4.16667 0;6
 4.16667 4.16667 0;6
 4.16667 4.16667 0;6
 5 4.16667 0;11
 5 4.16667 0;11
 5 4.16667 0;11
 0 5 0;9
 0 5 0;9
 0 5 0;9
 0.833333 5 0;9
 0.833333 5 0;9
 0.833333 5 0;9
 1.66667 5 0;9
 1.66667 5 0;9
 1.66667 5 0;9
 2.5 5 0;9
 2.5 5 0;9
 2.5 5 0;9
 3.33333 5 0;9
 3.33333 5 0;9
 3.33333 5 0;9
 4.16667 5 0;9
 4.16667 5 0;9
 4.16667 5 0;9
 5 5 0;12
 5 5 0;12
 5 5 0;12
 0 5.83333 0;4
 0 5.83333 0;4
 0 5.83333 0;4
 0.833333 5.83333 0;4
 0.833333 5.83333 0;4
 0.833333 5.83333 0;4
 1.66667 5.83333 0;4
 1.66667 5.83333 0;4
 1.66667 5.83333 0;4
 2.5 5.83333 0;4
 2.5 5.83333 0;4
 2.5 5.83333 0;4
 3.33333 5.83333 0;4
 3.33333 5.83333 0;4
 3.33333 5.83333 0;4
 4.16667 5.83333 0;4
 4.16667 5.83333 0;4
 4.16667 5.83333 0;4
 5 5.83333 0;10
 5 5.83333 0;10
 5 5.83333 0;10
 0 6.66667 0;4
 0 6.66667 0;4
 0 6.66667 0;4
 0.833333 6.66667 0;4
 0.833333 6.66667 0;4
 0.833333 6.66667 0;4
 1.66667 6.66667 0;4
 1.66667 6.66667 0;4
 1.66667 6.66667 0;4
 2.5 6.66667 0;4
 2.5 6.66667 0;4
 2.5 6.66667 0;4
 3.33333 6.66667 0;4
 3.33333 6.66667 0;4
 3.33333 6.66667 0;4
 4.16667 6.66667 0;4
 4.16667 6.66667 0;4
 4.16667 6.66667 0;4
 5 6.66667 0;10
 5 6.66667 0;10
 5 6.66667 0;10
 0 7.5 0;4
 0 7.5 0;4
 0 7.5 0;4
 0.833333 7.5 0;4
