child;parent
151;1503
152;1504
153;1505
154;1506
155;1507
156;1508
157;1509
158;1510
159;1511
160;1512
161;1513
162;1514
163;1515
164;1516
165;1517
166;1518
167;1519
168;1520
169;1521
170;1522
171;1523
172;1524
173;1525
174;1526
175;1527
176;1528
177;1529
178;1530
179;1531
180;1532
181;1533
182;1534
183;1535
184;1536
185;1537
186;1538
187;1539
188;1540
189;1541
190;1542
191;1543
192;1544
193;1545
194;1546
195;1547
196;1548
197;1549
198;1550
199;1551
200;1552
201;1553
202;1554
203;1555
204;1556
205;1557
206;1558
207;1559
208;1560
209;1561
210;1562
211;1563
212;1564
213;1565
214;1566
215;1567
216;1568
217;1569
218;1570
219;1571
220;1572
221;1573
222;1574
223;1575
224;1575
225;1575
226;1575
227;1576
228;1576
229;1576
230;1576
231;1577
232;1578
233;1578
234;1578
235;1578
236;1579
237;1579
238;1579
239;1579
240;1580
241;1581
242;1581
243;1581
244;1581
245;1582
246;1582
247;1582
248;1582
249;1583
250;1583
251;1583
252;1583
253;1584
254;1584
255;1584
256;1584
257;1585
258;1585
259;1585
260;1585
261;1585
262;1585
263;1585
264;1585
265;1585
266;1585
267;1585
268;1585
269;1585
270;1585
271;1585
272;1585
273;1586
274;1586
275;1586
276;1586
277;1587
278;1588
279;1588
280;1588
281;1588
282;1589
283;1589
284;1589
285;1589
286;1590
287;1590
288;1590
289;1590
290;1591
291;1591
292;1591
293;1591
294;1592
295;1592
296;1592
297;1592
298;1593
299;1593
300;1593
301;1593
302;1593
303;1593
304;1593
305;1593
306;1593
307;1593
308;1593
309;1593
310;1593
311;1593
312;1593
313;1593
314;1594
315;1594
316;1594
317;1594
318;1595
319;1595
320;1595
321;1595
322;1596
323;1596
324;1596
325;1596
326;1597
327;1598
328;1598
329;1598
330;1598
331;1599
332;1599
333;1599
334;1599
335;1600
336;1600
337;1600
338;1600
339;1600
340;1600
341;1600
342;1600
343;1600
344;1600
345;1600
346;1600
347;1600
348;1600
349;1600
350;1600
351;1601
352;1601
353;1601
354;1601
355;1602
356;1602
357;1602
358;1602
359;1603
360;1603
361;1603
362;1603
363;1604
364;1604
365;1604
366;1604
367;1604
368;1604
369;1604
370;1604
371;1604
372;1604
373;1604
374;1604
375;1604
376;1604
377;1604
378;1604
379;1605
380;1605
381;1605
382;1605
383;1606
384;1606
385;1606
386;1606
387;1607
388;1608
389;1608
390;1608
391;1608
392;1609
393;1609
394;1609
395;1609
396;1610
397;1610
398;1610
399;1610
400;1611
401;1611
402;1611
403;1611
404;1612
405;1613
406;1613
407;1613
408;1613
409;1614
410;1614
411;1614
412;1615
413;1616
414;1616
415;1616
416;1616
417;1617
418;1617
419;1617
420;1617
421;1618
422;1618
423;1618
424;1618
425;1619
426;1619
427;1619
428;1620
429;1621
430;1621
431;1621
432;1621
433;1622
434;1622
435;1622
436;1622
437;1623
438;1623
439;1623
440;1623
441;1624
442;1624
443;1624
444;1625
445;1626
446;1626
447;1626
448;1626
449;1627
450;1627
451;1627
452;1627
453;1628
454;1629
455;1629
456;1629
457;1629
458;1630
459;1630
460;1630
461;1631
462;1632
463;1632
464;1632
465;1632
466;1633
467;1633
468;1633
469;1633
470;1634
471;1634
472;1634
473;1634
474;1635
475;1636
476;1637
477;1637
478;1637
479;1637
480;1638
481;1638
482;1638
483;1638
484;1639
485;1640
486;1640
487;1640
488;1641
489;1642
490;1642
491;1642
492;1643
493;1644
494;1645
495;1646
496;1647
497;1648
498;1649
499;1650
500;1650
501;1650
502;1651
503;1652
504;1653
505;1654
506;1654
507;1654
508;1654
509;1655
510;1655
511;1655
512;1656
513;1657
514;1657
515;1657
516;1657
517;1658
518;1658
519;1658
520;1658
521;1659
522;1659
523;1659
524;1659
525;1660
526;1660
527;1660
528;1660
529;1661
530;1661
531;1661
532;1661
533;1662
534;1662
535;1662
536;1662
537;1663
538;1663
539;1663
540;1663
541;1664
542;1665
543;1665
544;1665
545;1666
546;1667
547;1668
548;1669
549;1669
550;1669
551;1669
552;1670
553;1670
554;1670
555;1671
556;1672
557;1672
558;1672
559;1672
560;1673
561;1673
562;1673
563;1673
564;1674
565;1675
566;1675
567;1675
568;1676
569;1677
570;1678
571;1679
572;1679
573;1679
574;1679
575;1680
576;1680
577;1680
578;1680
579;1681
580;1681
581;1681
582;1681
583;1682
584;1683
585;1684
586;1685
587;1686
588;1687
589;1687
590;1687
591;1688
592;1689
593;1690
594;1690
595;1690
596;1691
597;1692
598;1693
599;1694
600;1694
601;1694
602;1694
603;1695
604;1695
605;1695
606;1696
607;1697
608;1697
609;1697
610;1697
611;1698
612;1698
613;1698
614;1698
615;1699
616;1700
617;1700
618;1700
619;1701
620;1702
621;1702
622;1702
623;1703
624;1704
625;1705
626;1705
627;1705
628;1706
629;1707
630;1708
631;1709
632;1710
633;1711
634;1711
635;1711
636;1712
637;1713
638;1714
639;1714
640;1714
641;1715
642;1715
643;1715
644;1715
645;1715
646;1715
647;1715
648;1715
649;1715
650;1716
651;1716
652;1716
653;1717
654;1717
655;1717
656;1718
657;1718
658;1718
659;1719
660;1720
661;1721
662;1721
663;1721
664;1722
665;1723
666;1724
667;1725
668;1725
669;1725
670;1726
671;1727
672;1728
673;1729
674;1730
675;1731
676;1731
677;1731
678;1732
679;1733
680;1734
681;1734
682;1734
683;1735
684;1736
685;1737
686;1738
687;1739
688;1740
689;1740
690;1740
691;1741
692;1742
693;1743
694;1744
695;1744
696;1744
697;1744
698;1744
699;1744
700;1744
701;1744
702;1744
703;1745
704;1746
705;1746
706;1746
707;1747
708;1747
709;1747
710;1748
711;1749
712;1749
713;1749
714;1750
715;1750
716;1750
717;1751
718;1752
719;1753
720;1753
721;1753
722;1754
723;1754
724;1754
725;1755
726;1756
727;1757
728;1757
729;1757
730;1758
731;1759
732;1760
733;1761
734;1762
735;1763
736;1764
737;1765
738;1766
739;1767
740;1767
741;1767
742;1768
743;1769
744;1769
745;1769
746;1770
747;1771
748;1771
749;1771
750;1772
751;1773
752;1774
753;1774
