id;size;rank;Rdiag
0;48;48;
1;48;48;
2;96;96;
3;48;48;
4;48;48;
5;96;96;
6;96;96;
7;48;48;
8;96;96;
9;48;48;
10;24;24;
11;96;96;
12;12;12;
13;48;48;
14;48;48;
15;48;48;
16;96;96;
17;48;48;
18;96;96;
19;48;48;
20;96;96;
21;48;48;
22;48;48;
23;96;96;
24;48;48;
25;48;48;
26;96;96;
27;96;96;
28;48;48;
29;96;96;
30;48;48;
31;12;12;
32;48;48;
33;24;24;
34;96;96;
35;48;48;
36;96;96;
37;48;48;
38;96;96;
39;48;48;
40;48;48;
41;96;96;
42;96;96;
43;48;48;
44;48;48;
45;96;96;
46;96;96;
47;48;48;
48;96;96;
49;48;48;
50;48;48;
51;96;96;
52;48;48;
53;96;96;
54;96;96;
55;48;48;
56;48;48;
57;96;96;
58;96;96;
59;48;48;
60;96;96;
61;48;48;
62;96;96;
63;48;48;
64;96;96;
65;48;48;
66;48;48;
67;96;96;
68;96;96;
69;48;48;
70;48;48;
71;96;96;
72;96;96;
73;48;48;
74;48;48;
75;96;96;
76;48;48;
77;96;96;
78;48;48;
79;96;96;
80;96;96;
81;48;48;
82;48;48;
83;96;96;
84;96;96;
85;48;48;
86;96;96;
87;48;48;
88;96;96;
89;48;48;
90;12;12;
91;48;48;
92;24;24;
93;96;96;
94;48;48;
95;48;48;
96;96;96;
97;48;48;
98;48;48;
99;96;96;
100;12;12;
101;48;48;
102;24;24;
103;96;96;
104;48;48;
105;96;96;
106;96;96;
107;48;48;
108;48;48;
109;96;96;
110;48;48;
111;96;96;
112;96;96;
113;48;48;
114;48;48;
115;96;96;
116;48;48;
117;96;96;
118;48;48;
119;96;96;
120;48;48;
121;96;96;
122;48;48;
123;96;96;
124;48;48;
125;96;96;
126;96;96;
127;48;48;
128;12;12;
129;48;48;
130;24;24;
131;96;96;
132;48;48;
133;48;48;
134;96;96;
135;12;12;
136;48;48;
137;24;24;
138;96;96;
139;12;12;
140;48;48;
141;24;24;
142;96;96;
143;48;48;
144;96;96;
145;48;48;
146;96;96;
147;96;96;
148;48;48;
149;48;48;
150;96;96;
151;48;48;
152;48;48;
153;48;48;
154;48;48;
155;12;12;
156;48;48;
157;48;48;
158;48;48;
159;48;48;
160;48;48;
161;48;48;
162;48;48;
163;48;48;
164;12;12;
165;48;48;
166;48;48;
167;48;48;
168;48;48;
169;48;48;
170;48;48;
171;48;48;
172;48;48;
173;48;48;
174;48;48;
175;48;48;
176;48;48;
177;48;48;
178;48;48;
179;48;48;
180;48;48;
181;48;48;
182;48;48;
183;48;48;
184;48;48;
185;48;48;
186;48;48;
187;48;48;
188;48;48;
189;48;48;
190;48;48;
191;48;48;
192;48;48;
193;12;12;
194;48;48;
195;48;48;
196;48;48;
197;12;12;
198;48;48;
199;48;48;
200;48;48;
201;48;48;
202;48;48;
203;48;48;
204;48;48;
205;48;48;
206;48;48;
207;48;48;
208;48;48;
209;48;48;
210;48;48;
211;12;12;
212;48;48;
213;48;48;
214;12;12;
215;48;48;
216;12;12;
217;48;48;
218;48;48;
219;48;48;
220;48;48;
221;48;48;
222;12;12;
223;12;12;
224;12;12;
225;12;12;
226;12;12;
227;12;12;
228;12;12;
229;12;12;
230;12;12;
231;12;12;
232;12;12;
233;12;12;
234;12;12;
235;12;12;
236;12;12;
237;12;12;
238;12;12;
239;12;12;
240;12;12;
241;12;12;
242;12;12;
243;12;12;
244;12;12;
245;12;12;
246;12;12;
247;12;12;
248;12;12;
249;12;12;
250;12;12;
251;12;12;
252;12;12;
253;12;12;
254;12;12;
255;12;12;
256;12;12;
257;3;3;
258;3;3;
259;3;3;
260;3;3;
261;3;3;
262;3;3;
263;3;3;
264;3;3;
265;3;3;
266;3;3;
267;3;3;
268;3;3;
269;3;3;
270;3;3;
271;3;3;
272;3;3;
273;12;12;
274;12;12;
275;12;12;
276;12;12;
277;48;48;
278;12;12;
279;12;12;
280;12;12;
281;12;12;
282;12;12;
283;12;12;
284;12;12;
285;12;12;
286;12;12;
287;12;12;
288;12;12;
289;12;12;
290;12;12;
291;12;12;
292;12;12;
293;12;12;
294;12;12;
295;12;12;
296;12;12;
297;12;12;
298;3;3;
299;3;3;
300;3;3;
301;3;3;
302;3;3;
303;3;3;
304;3;3;
305;3;3;
306;3;3;
307;3;3;
308;3;3;
309;3;3;
310;3;3;
311;3;3;
312;3;3;
313;3;3;
314;12;12;
315;12;12;
316;12;12;
317;12;12;
318;12;12;
319;12;12;
320;12;12;
321;12;12;
322;12;12;
323;12;12;
324;12;12;
325;12;12;
326;12;12;
327;12;12;
328;12;12;
329;12;12;
330;12;12;
331;3;3;
332;3;3;
333;3;3;
334;3;3;
335;3;3;
336;3;3;
337;3;3;
338;3;3;
339;3;3;
340;3;3;
341;3;3;
342;3;3;
343;3;3;
344;3;3;
345;3;3;
346;3;3;
347;3;3;
348;3;3;
349;3;3;
350;3;3;
351;12;12;
352;12;12;
353;12;12;
354;12;12;
355;12;12;
356;12;12;
357;12;12;
358;12;12;
359;12;12;
360;12;12;
361;12;12;
362;12;12;
363;3;3;
364;3;3;
365;3;3;
366;3;3;
367;3;3;
368;3;3;
369;3;3;
370;3;3;
371;3;3;
372;3;3;
373;3;3;
374;3;3;
375;3;3;
376;3;3;
377;3;3;
378;3;3;
379;12;12;
380;12;12;
381;12;12;
382;12;12;
383;12;12;
384;12;12;
385;12;12;
386;12;12;
387;12;12;
388;12;12;
389;12;12;
390;12;12;
